Ritalin,hiking,BeachBody OnDemand,physical therapy,snuggles,Cyclizine,new environment,Dehydrated,had sex,Florinef,slept not alone,had sex last night,BLT,singing,ate breakfast,Solifenacin,Darifenacin,Probiotic,digestive enzyme,travel,Ribose,Monteluklast,slept lots,Socialising,Ate too late,Feverfew,Carbomer eye drops,woke up late,alverine,dairy,holiday,slept late,Piyo,exercise,A little stressed,shopping,SAM-E,very active aqua class,Superlong nap,Cider,TigerBalm,Rather bad sleep,busy,scary new shit,Social,worked,Friends,day at home,Cetraben cream,caught pokemon,Much sex,long shopping  trip,Cinema,Guarana & Ginseng,studied,went to bed too late,Ginger,Work hard,Hydrocortisone,Vitamin b12,walked,Cerelle,Passionflower,Singing,row
,,,,,-1.0,,,,,,,,,1.0,-1.0,,1.0,,,,,,,,1.0,,,,-1.0,,,,,,-1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snuggles
-1.0,,,,,,,,,,,,,,-1.0,1.0,,-1.0,,,,,,,,-1.0,,,,1.0,,,,,,1.0,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,-1.0,,,-1.0,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,new environment
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dehydrated
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Florinef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept not alone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex last night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,BLT
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,singing
1.0,,,,,-1.0,,,,,,,,,,-1.0,,1.0,,,,,,,,1.0,,,,-1.0,,,,,,-1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,ate breakfast
-1.0,,,,,1.0,,,,,,,,,-1.0,,,-1.0,,,,,,,,-1.0,,,,1.0,,,,,,1.0,,,,,,,-1.0,-1.0,,,,,,,,,,,,,,,,-1.0,,,-1.0,,Solifenacin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Darifenacin
1.0,,,,,-1.0,,,,,,,,,1.0,-1.0,,,,,,,,,,1.0,,,,-1.0,,,,,,-1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,,Probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,digestive enzyme
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,travel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ribose
