Charcoal,Acetaminophen plus Codeine Number 3,Contraceptive pill,Inderal,Stretching,Inolaxol,Megaspore,Probiotics,Omeprazole,Low-FODMAP diet,Multi-vitamin,Bicarb on scalp,Iberogast,row
,,,,,,,,,,,,,Charcoal
,,,,,,,,,,,,,Acetaminophen plus Codeine Number 3
,,,,,,,,,,,,,Contraceptive pill
,,,,,,,,1.0,,,,,Inderal
,,,,,,,,,,,,,Stretching
,,,,,,,,,,,,,Inolaxol
,,,,,,,,,,,,,Megaspore
,,,,,,,,,,,,,Probiotics
,,,1.0,,,,,,,,,,Omeprazole
,,,,,,,,,,,,,Low-FODMAP diet
,,,,,,,,,,,,,Multi-vitamin
,,,,,,,,,,,,,Bicarb on scalp
,,,,,,,,,,,,,Iberogast
