gardening,Contraceptive pill,Pedicure,Bicarb on scalp,little breakfast,honey,smoothie,had sex,Omeprazole,excerise,ate breakfast,Iberogast,Charcoal,l-theanine,hiking,donut,Farm,Sewing,met a new cat,ice cream bar,nap,ate pizza,dairy,L-theanine,no exercise,Low-FODMAP diet,holiday,Inolaxol,exercise,rest day,gaming,slept long,11k steps,Off work,sitting,Inderal,Superlong nap,gym,sugar yesterday,Candy,exercised,yogurt,Probiotics,beans,Norco,catheter,Daytime nap,gluten,archery,slept 10 hours,rice,slept 9 hours,fresh food,Sleeping pills ,banana,no sleep,new environment,Sleep,catered food,Vitamin e,Vitamin d,nachos,Onions,drank a lot,Arby's,Multi-vitamin,row
,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,gardening
,,,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,Contraceptive pill
,,,,,,0.0,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pedicure
,0.0,,,,,,,0.0,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,Bicarb on scalp
0.0,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,little breakfast
,,,,,,,,,0.0,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,,honey
,,0.0,,,,,,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,smoothie
,,,,,,,,,,0.00589110942391,,,,2.0,,,0.0,,,,,,,,,,,0.0,,0.0,,,0.0,,,,,,,,,,,,2.0,,,,,,,,0.0,,0.0,,,,,,,,,,,had sex
,0.0,,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,Omeprazole
,,,,,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,,excerise
,,,,,0.0,,0.00589110942391,,0.0,,,,0.0,0.065424678515,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,0.0,,2.0,,,,,0.0,,,0.0,,0.0,,2.0,,,,,0.0,0.0,,,ate breakfast
,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,Iberogast
,0.0,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,Charcoal
,,,,,0.0,,,,0.0,0.0,,,,0.0,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,,l-theanine
,,2.0,,,0.0,2.0,2.0,,0.0,0.065424678515,,,0.0,,,,,0.0,,,,0.0,0.0,2.0,,,,,,,2.0,,2.0,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,,hiking
0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,donut
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,2.0,,,,0.0,0.0,,,,,,Farm
,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,0.0,,,,,,,,,,,Sewing
,,,,,0.0,,,,0.0,0.0,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,0.0,,,,,,,0.0,,,,,,,2.0,,,,,0.0,0.0,,,met a new cat
