Dicyclomine,Tretinoin,Phyical Therapy - stretches,Caffeine,Osteopathy,Pantoprazole,Glutamine,Metformin,Spasfon,Fexofenadine,Relaxing,Zolmitriptan,Clinda-derm,Ubiquinol,Valerian,Achy breaky rub,Uncooked cornstarch,Dexedrine,Benadryl,Enada,Progesterone,Vitamin B,Vitamin b6,Tranexamic acid,Gabapentin,Medication,Duexis,excedrin migraine,Zomig,Montelukast,Heating Pad,cocodamol,Corticosteroids,row
,0.0826288709968,0.0,,0.0,,,0.0,,0.0235219724783,,0.0194818114848,5.78495578322e-05,,1.36950135678,,,,1.26619835974,0.0,0.0,0.0,,,0.0,0.0,,,,0.0127085609818,,,0.0,Dicyclomine
0.0826288709968,,0.0,,0.0,,,0.0,,0.0183846103313,,0.0223159860123,0.0784006200153,,0.969105663359,,,,0.860531478154,0.0,0.0,0.0,,,0.0,0.0,,,,0.0310318848726,,,0.0,Tretinoin
0.0,0.0,,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,,0.0,Phyical Therapy - stretches
,,,,,,0.0,,2.0,,,,,2.0,,,,,,,,,2.0,,,,,,,,0.0,,,Caffeine
0.0,0.0,0.0,,,,,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,,0.0,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Pantoprazole
,,,0.0,,,,,2.0,,,,,1.08376552218,,,0.0,,,,,,1.09344846944,,,,0.0,,,,0.0,0.0,,Glutamine
0.0,0.0,0.0,,0.0,,,,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,,0.0,Metformin
,,,2.0,,,2.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,2.0,,,Spasfon
0.0235219724783,0.0183846103313,0.0,,0.0,,,0.0,,,,0.000192263025566,0.0212592431415,,1.16045219232,,,,1.05209974804,0.0,0.0,0.0,,,0.0,0.0,,,,0.00166572746639,,,0.0,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Relaxing
0.0194818114848,0.0223159860123,0.0,,0.0,,,0.0,,0.000192263025566,,,0.0174257124457,,1.17977568262,,,,1.07167149401,0.0,0.0,0.0,,,0.0,0.0,,,,0.000726369548883,,,0.0,Zolmitriptan
5.78495578322e-05,0.0784006200153,0.0,,0.0,,,0.0,,0.0212592431415,,0.0174257124457,,,1.35948499851,,,,1.25581486568,0.0,0.0,0.0,,,0.0,0.0,,,,0.0110562989375,,,0.0,Clinda-derm
,,,2.0,,,1.08376552218,,0.0,,,,,,,,0.0,,,,,,4.72507173622e-05,,,,0.0,,,,2.0,0.0,,Ubiquinol
1.36950135678,0.969105663359,0.0,,0.0,,,0.0,,1.16045219232,,1.17977568262,1.35948499851,,,,,,0.0059373860576,0.0,0.0,0.0,,,2.0,0.0,,,,1.21713212389,,,0.0,Valerian
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Achy breaky rub
,,,,,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,,Uncooked cornstarch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
1.26619835974,0.860531478154,0.0,,0.0,,,0.0,,1.05209974804,,1.07167149401,1.25581486568,,0.0059373860576,,,,,0.0,0.0,0.0,,,2.0,0.0,,,,1.10962932432,,,0.0,Benadryl
0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,,0.0,0.0,,,,0.0,,,,0.0,,,0.0,Enada
0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,,,0.0,Progesterone
0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,0.0,Vitamin B
,,,2.0,,,1.09344846944,,0.0,,,,,4.72507173622e-05,,,0.0,,,,,,,,,,0.0,,,,2.0,0.0,,Vitamin b6
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tranexamic acid
0.0,0.0,,,,,,,,0.0,,0.0,0.0,,2.0,,,,2.0,,,,,,,,,,,0.0,,,,Gabapentin
0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,0.0,Medication
,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,0.0,,Duexis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,excedrin migraine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
0.0127085609818,0.0310318848726,0.0,,0.0,,,0.0,,0.00166572746639,,0.000726369548883,0.0110562989375,,1.21713212389,,,,1.10962932432,0.0,0.0,0.0,,,0.0,0.0,,,,,,,0.0,Montelukast
,,,0.0,,,0.0,,2.0,,,,,2.0,,,,,,,,,2.0,,,,,,,,,,,Heating Pad
,,,,,,0.0,,,,,,,0.0,,,0.0,,,,,,0.0,,,,0.0,,,,,,,cocodamol
0.0,0.0,0.0,,0.0,,,0.0,,0.0,,0.0,0.0,,0.0,,,,0.0,0.0,0.0,0.0,,,,0.0,,,,0.0,,,,Corticosteroids
