Vitamins,exercise - dancing,floravit iron,Acetaminophen,catheter,5-htp,Yin Chiao,Cetirizine hydrochloride,Pataday,Wei Zhang Shun Qi Wan,Daily walk,Mirtazapine,flu vaccine injection,Tian Ma Tou Tong - headache,Gan Mao Qing anti-viral,Progesterone,Support worker assistance,Magnesium,Ondansetron,Cleaning ,Turmeric,Ibuprofen,Curcumin,row
,2.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,Vitamins
2.0,,,2.0,0.0,2.0,,2.0,,,,,2.0,,,,2.0,,,,,,2.0,exercise - dancing
,,,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,floravit iron
0.0,2.0,,,2.0,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,Acetaminophen
2.0,0.0,,2.0,,2.0,,2.0,,,,,2.0,,,,2.0,,,,,,2.0,catheter
0.0,2.0,,0.0,2.0,,,0.0,,,,,0.0,,,,0.0,,,,,,0.0,5-htp
,,0.0,,,,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,Yin Chiao
0.0,2.0,,0.0,2.0,0.0,,,,,,,0.0,,,,0.0,,,,,,0.0,Cetirizine hydrochloride
,,0.0,,,,0.0,,,,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,Pataday
,,,,,,,,,,,,,,,,,,,,,,,Wei Zhang Shun Qi Wan
,,0.0,,,,0.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,Daily walk
,,0.0,,,,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,Mirtazapine
0.0,2.0,,0.0,2.0,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,flu vaccine injection
,,0.0,,,,0.0,,0.0,,0.0,0.0,,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,,Tian Ma Tou Tong - headache
,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,,0.0,,0.0,2.0,0.0,0.0,0.0,,Gan Mao Qing anti-viral
,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,0.0,0.0,,Progesterone
0.0,2.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,,,,,,,,0.0,Support worker assistance
,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,2.0,0.0,0.0,0.0,,Magnesium
,,2.0,,,,2.0,,2.0,,2.0,2.0,,2.0,2.0,2.0,,2.0,,2.0,2.0,2.0,,Ondansetron
,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,,0.0,0.0,,Cleaning 
,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,0.0,,Turmeric
,,0.0,,,,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,,Ibuprofen
0.0,2.0,,0.0,2.0,0.0,,0.0,,,,,0.0,,,,0.0,,,,,,,Curcumin
