Allegra,Coffee,Ventolin,travel,Topamax,slept 10 hours,walked,12K Steps,slept 9 hours,had sex,Ropinirole,grapes,Slept extra,sun exposure,row
,,,,,,,,,,,,,,Allegra
,,0.0,,0.0,,,,,,2.0,,,,Coffee
,0.0,,,0.0,,,,,,2.0,,,,Ventolin
,,,,,,,,,,,,,,travel
,0.0,0.0,,,,,,,,2.0,,,,Topamax
,,,,,,,,,,,,,,slept 10 hours
,,,,,,,,,,,,,,walked
,,,,,,,,,,,,,,12K Steps
,,,,,,,,,,,,,,slept 9 hours
,,,,,,,,,,,,,,had sex
,2.0,2.0,,2.0,,,,,,,,,,Ropinirole
,,,,,,,,,,,,,,grapes
,,,,,,,,,,,,,,Slept extra
,,,,,,,,,,,,,,sun exposure
