Coffee,Aloe Detox Water,Vitamins,Medical Marijuana,slept 12 hours,espresso,coffee,Daily walk,Medical marijuana,Weather- rain,Meditation,Extra Medications,massage,Turmeric,row
,0.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,Coffee
0.0,,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,Aloe Detox Water
0.0,0.0,,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,Vitamins
0.0,0.0,0.0,,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,,Medical Marijuana
2.0,2.0,2.0,2.0,,0.0,0.0,,2.0,2.0,2.0,2.0,2.0,,slept 12 hours
2.0,2.0,2.0,2.0,0.0,,0.0,,2.0,2.0,2.0,2.0,2.0,,espresso
2.0,2.0,2.0,2.0,0.0,0.0,,,2.0,2.0,2.0,2.0,2.0,,coffee
,,,,,,,,,,,,,,Daily walk
0.0,0.0,0.0,0.0,2.0,2.0,2.0,,,0.0,0.0,0.0,0.0,,Medical marijuana
0.0,0.0,0.0,0.0,2.0,2.0,2.0,,0.0,,0.0,0.0,0.0,,Weather- rain
0.0,0.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,,0.0,0.0,,Meditation
0.0,0.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,,0.0,,Extra Medications
0.0,0.0,0.0,0.0,2.0,2.0,2.0,,0.0,0.0,0.0,0.0,,,massage
,,,,,,,,,,,,,,Turmeric
