kit gone,went shopping,obsessing,PMS,Physical therapy,Superlong nap,good sleep,argument,bad work day,soda,upset in am,bed day,Computer,stress at work,bike ride,stressed,tired,ate breakfast,happy,row
,,,,0.0,,2.0,0.0,2.0,2.0,0.0,,,2.0,,2.0,2.0,2.0,2.0,kit gone
,,0.0,0.0,2.0,2.0,2.0,,,,,0.0,2.0,,2.0,2.0,2.0,2.0,,went shopping
,0.0,,0.0,2.0,2.0,2.0,,,,,0.0,2.0,,2.0,2.0,2.0,2.0,,obsessing
,0.0,0.0,,2.0,2.0,2.0,,,,,0.0,2.0,,2.0,2.0,2.0,2.0,,PMS
0.0,2.0,2.0,2.0,,0.0,0.706579343301,0.0,2.0,2.0,0.0,2.0,0.0,2.0,0.0,0.706579343301,0.706579343301,0.706579343301,2.0,Physical therapy
,2.0,2.0,2.0,0.0,,0.0,,,,,2.0,0.0,,0.0,0.0,0.0,0.0,,Superlong nap
2.0,2.0,2.0,2.0,0.706579343301,0.0,,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,1.11022302463e-16,2.22044604925e-16,2.22044604925e-16,0.0,good sleep
0.0,,,,0.0,,2.0,,2.0,2.0,0.0,,,2.0,,2.0,2.0,2.0,2.0,argument
2.0,,,,2.0,,0.0,2.0,,0.0,2.0,,,0.0,,0.0,0.0,0.0,0.0,bad work day
2.0,,,,2.0,,0.0,2.0,0.0,,2.0,,,0.0,,0.0,0.0,0.0,0.0,soda
0.0,,,,0.0,,2.0,0.0,2.0,2.0,,,,2.0,,2.0,2.0,2.0,2.0,upset in am
,0.0,0.0,0.0,2.0,2.0,2.0,,,,,,2.0,,2.0,2.0,2.0,2.0,,bed day
,2.0,2.0,2.0,0.0,0.0,0.0,,,,,2.0,,,0.0,0.0,0.0,0.0,,Computer
2.0,,,,2.0,,0.0,2.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,0.0,stress at work
,2.0,2.0,2.0,0.0,0.0,0.0,,,,,2.0,0.0,,,0.0,0.0,0.0,,bike ride
2.0,2.0,2.0,2.0,0.706579343301,0.0,1.11022302463e-16,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.22044604925e-16,2.22044604925e-16,0.0,stressed
2.0,2.0,2.0,2.0,0.706579343301,0.0,2.22044604925e-16,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.22044604925e-16,,1.11022302463e-16,0.0,tired
2.0,2.0,2.0,2.0,0.706579343301,0.0,2.22044604925e-16,2.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,2.22044604925e-16,1.11022302463e-16,,0.0,ate breakfast
2.0,,,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,,0.0,0.0,0.0,,happy
