Dicyclomine,Enada,Medication,Relaxing,Cefaly Unit,Phyical Therapy - stretches,Zomig,Clinda-derm,Fexofenadine,Osteopathy,Progesterone,Montelukast,Vitamin B,Tretinoin,Achy breaky rub,Tranexamic acid,Corticosteroids,Metformin,excedrin migraine,Pantoprazole,row
,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Dicyclomine
0.0,,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Enada
2.0,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,Medication
0.0,0.0,2.0,,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Relaxing
,,,,,,,,,,,,,,,,,,,,Cefaly Unit
2.0,2.0,0.0,2.0,,,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,Phyical Therapy - stretches
2.0,2.0,0.0,2.0,,0.0,,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,Zomig
0.0,0.0,2.0,0.0,,2.0,2.0,,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Clinda-derm
2.0,2.0,0.0,2.0,,0.0,0.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,Fexofenadine
0.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Osteopathy
0.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Progesterone
0.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Montelukast
0.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,Vitamin B
2.0,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,Tretinoin
0.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,0.0,0.0,Achy breaky rub
0.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,Tranexamic acid
0.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,0.0,Corticosteroids
2.0,2.0,0.0,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,Metformin
0.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,,0.0,excedrin migraine
0.0,0.0,2.0,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,,Pantoprazole
