Viibryd,Fluoxetine,good nights sleep,Armodafinil,espresso,gluten ,gluten free,nap,had sex,Levothyroxine,Metoprolol,Meditation,gluten free diet,row
,,,,,,,,,,,,,Viibryd
,,,,,,,,,,,,,Fluoxetine
,,,,,,,0.0,,,,,,good nights sleep
,,,,,,,,,,,,,Armodafinil
,,,,,0.0,2.0,,0.0,2.0,2.0,,2.0,espresso
,,,,0.0,,2.0,,0.0,2.0,2.0,,2.0,gluten 
,,,,2.0,2.0,,,2.0,0.0,0.0,,0.0,gluten free
,,0.0,,,,,,,,,,,nap
,,,,0.0,0.0,2.0,,,2.0,2.0,,2.0,had sex
,,,,2.0,2.0,0.0,,2.0,,0.0,,0.0,Levothyroxine
,,,,2.0,2.0,0.0,,2.0,0.0,,,0.0,Metoprolol
,,,,,,,,,,,,,Meditation
,,,,2.0,2.0,0.0,,2.0,0.0,0.0,,,gluten free diet
