Panamax,Prednisone,Creatine,Clonazepam,Nortriptyline,antihistamines,Acetyl Carnitine,Lithium,Soluble Aspirin,N-Acelcysteine,row
,0.0,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,Panamax
0.0,,2.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,Prednisone
2.0,2.0,,0.0,0.0,0.0,0.0,0.0,2.0,0.0,Creatine
2.0,2.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,Clonazepam
2.0,2.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,Nortriptyline
2.0,2.0,0.0,0.0,0.0,,0.0,0.0,2.0,0.0,antihistamines
2.0,2.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,Acetyl Carnitine
2.0,2.0,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,Lithium
0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,Soluble Aspirin
2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,,N-Acelcysteine
