Superlong nap,forgot to enter,hiking,tired,good sleep,angry,pms,scattered,alcohol,dizzy,had sex,stressed,wasted,i don't even know,row
,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,Superlong nap
,,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,forgot to enter
0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,,hiking
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,tired
0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,,good sleep
0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,angry
,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0,pms
,0.0,,0.0,,,0.0,,,0.0,,,0.0,0.0,scattered
0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,,alcohol
,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.0,dizzy
0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,had sex
0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,,stressed
,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0,wasted
,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,,i don't even know
