hiking,Aleve,Provigil,drive,had sex,ate breakfast,afternoon coffee,ate cooked nightshades,lots of walking,travel,housework,ate peppers,ate dairy,Plaquenil,worked out,exercise,Off work,no caffeine,ate eggs,Superlong nap,>50 oz water,green tea,grapes,Adderall,worked,neck massage,slept in,lifted weights,ate potato,Marijuana,walked,drank wine,ate potato chips,Ibuprofen,light breakfast,12K Steps,row
,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,2.0,,,,2.0,,,hiking
,,1.11022302463e-16,,,,2.0,0.0,,,,2.0,,1.11022302463e-16,,,,0.0,2.0,,0.0,2.0,,0.0,,,,,2.0,,,0.0,2.0,,2.0,,Aleve
,1.11022302463e-16,,,,,2.0,0.0,,,,2.0,,0.0,,,,0.0,2.0,,0.0,2.0,,1.11022302463e-16,,,,,2.0,,,0.0,2.0,,2.0,,Provigil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,drive
0.0,,,,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,,0.0,,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,2.0,0.0,,,2.0,,0.0,had sex
0.0,,,,0.0,,,,0.0,0.0,0.0,,,,,0.0,,,,0.0,,,,,,0.0,,,,2.0,,,,2.0,,,ate breakfast
,2.0,2.0,,,,,2.0,,,,0.0,,2.0,,,,2.0,0.0,,2.0,0.0,,2.0,,,,,0.0,,,2.0,0.0,,0.0,,afternoon coffee
,0.0,0.0,,,,2.0,,,,,2.0,,0.0,,,,0.0,2.0,,0.0,2.0,,0.0,,,,,2.0,,,0.0,2.0,,2.0,,ate cooked nightshades
0.0,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,0.0,,,,,,0.0,,,,2.0,,,,2.0,,,lots of walking
0.0,,,,0.0,0.0,,,0.0,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,2.0,,,,2.0,,,travel
0.0,,,,0.0,0.0,,,0.0,0.0,,,,,,,,,,0.0,,,,,,0.0,,,,2.0,,,,2.0,,,housework
,2.0,2.0,,,,0.0,2.0,,,,,,2.0,,,,2.0,0.0,,2.0,0.0,,2.0,,,,,0.0,,,2.0,0.0,,0.0,,ate peppers
,,,,0.0,,,,,,,,,,0.0,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,ate dairy
,1.11022302463e-16,0.0,,,,2.0,0.0,,,,2.0,,,,,,0.0,2.0,,0.0,2.0,,1.11022302463e-16,,,,,2.0,,,0.0,2.0,,2.0,,Plaquenil
,,,,0.0,,,,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,worked out
,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,2.0,,,exercise
,,,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,,,,,0.0,,0.0,0.0,,,0.0,,,,,,Off work
,0.0,0.0,,,,2.0,0.0,,,,2.0,,0.0,,,,,2.0,,0.0,2.0,,0.0,,,,,2.0,,,0.0,2.0,,2.0,,no caffeine
,2.0,2.0,,0.0,,0.0,2.0,,,,0.0,0.0,2.0,0.0,,0.0,2.0,,,2.0,0.0,,2.0,0.0,,0.0,0.0,0.0,,0.0,2.0,0.0,,0.0,,ate eggs
0.0,,,,0.0,0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,,,0.0,,,,2.0,,,,2.0,,,Superlong nap
,0.0,0.0,,,,2.0,0.0,,,,2.0,,0.0,,,,0.0,2.0,,,2.0,,0.0,,,,,2.0,,,0.0,2.0,,2.0,,>50 oz water
