Vitamins,slept 12 hours,Fluids,Amitriptyline,played video games,ate breakfast,busy,sugar,First date,Netflix day,rice,coffee,Aloe Detox Water,ate gluten,treadmill,day at home,Turmeric,maple syrup,Flexeril,lifted weights,11 hours of sleep,took naps,Medications,Language Learning,church,bacon,Human Growth Hormone,eating out,ASMR,Coffee,grocery shopping,Medical Marijuana,espresso,Synthroid,Vitamin B2,SPD alternative treatments,worked out,exercise,Work,Off work,Pet Therapy,Medical marijuana,Superlong nap,breathing exercises,Anakinra,ate garlic,Into the city,Walking,Medication,ribs,studied,fun shopping,Coenzyme q-10,beans,Vitamin d,Counseling,Late lunch,sun exposure,massage,Yoga,hiking,physical therapy,shopped,had sex,mangos,Rock climbing,ate red meat,Extra Medications,Metformin,Exercise,sugar yesterday,1 slice of cheese,tough half marathon,Therapy,Dermatologist,Weather- rain,slept late,CoQ10,shopping,lower dose of msm,Chiropractic,worked in garden,slept in,Midodrine,worked,banana,Meditation,counselor,ate a slice of cheese,TENS Unit,Zomig,Computer for many hours,Alcohol yesterday,150km yday,Fexofenadine,yoga,advil,did 7 mins of exercise   woohoo,Daily walk,housework,Exercise--walking,ate dairy,beach,laundry,Meat,ate eggs,ativan,exercised,Essential oils,no breakfast,1 slice of cheese ,pool,psychiatrists,archery,neuro,walked,no sleep,Paracetamol,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,slept 12 hours
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluids
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,played video games
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,-0.331926920142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,sugar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,First date
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Netflix day
