Vitamins,Selenium,Echinacea,exercise - dancing,Acetaminophen,5-htp,Peristeen,Daytime sleep,Cetirizine hydrochloride,Docosahexaenoic acid,occular migraine meds,Biotin,elliptical,Gravol,Vitamin b complex,flu vaccine injection,No red meat,Seasonique,foot brace,Calcium citrate,Nycopro Probiotic,b12 injection,Support worker assistance,Iron,Cetirizine,catheter,Folic acid,Iodine,CrossFit,Glycine,Eicosapentaenoic acid,Coenzyme q-10,Vitamin d,Curcumin,row
,2.0,,,,2.0,,,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,,2.0,,2.0,2.0,2.0,,2.0,Vitamins
2.0,,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,Selenium
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Echinacea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,exercise - dancing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetaminophen
2.0,0.0,,,,,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,5-htp
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Peristeen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Daytime sleep
0.0,2.0,,,,2.0,,,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,,,,2.0,,2.0,2.0,2.0,,2.0,Cetirizine hydrochloride
2.0,0.0,,,,0.0,,,2.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,Docosahexaenoic acid
2.0,0.0,,,,0.0,,,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,occular migraine meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Biotin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,elliptical
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,Gravol
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,Vitamin b complex
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,flu vaccine injection
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,No red meat
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,Seasonique
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,foot brace
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Calcium citrate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nycopro Probiotic
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,0.0,b12 injection
0.0,2.0,,,,2.0,,,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,,,,2.0,,2.0,2.0,2.0,,2.0,Support worker assistance
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,,,,,0.0,,0.0,0.0,0.0,,0.0,Iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,catheter
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folic acid
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,,,0.0,0.0,0.0,,0.0,Iodine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrossFit
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,,0.0,0.0,,0.0,Glycine
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,,0.0,,0.0,Eicosapentaenoic acid
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,,,0.0,Coenzyme q-10
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin d
2.0,0.0,,,,0.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,0.0,0.0,0.0,,,Curcumin
