Humira,Bentyl,Prednisone,Neti Pot,Hemorrhoid Cream,hydrocortisone suppository ,Fish oil,MMJ,MitoQ ,Flonase,Ginger,Calcium citrate,Vitamin C,Ginkgo,Iron,Vitamin d,methotraxate,Ocella,Triamcinolone Cream,row
,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,Humira
,,,,,,,2.0,,,,0.0,,,,0.0,,,,Bentyl
0.0,,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,Prednisone
0.0,,0.0,,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,Neti Pot
0.0,,0.0,0.0,,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,Hemorrhoid Cream
0.0,,0.0,0.0,0.0,,0.0,,,0.0,,,0.0,,0.0,,,0.0,0.0,hydrocortisone suppository 
0.0,,0.0,0.0,0.0,0.0,,,,0.0,,,0.0,,0.0,,,0.0,0.0,Fish oil
,2.0,,,,,,,,,,2.0,,,,2.0,,,,MMJ
,,,,,,,,,,,,,,,,,,,MitoQ 
0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,0.0,,0.0,,,0.0,0.0,Flonase
,,,,,,,,,,,,,,,,,,,Ginger
,0.0,,,,,,2.0,,,,,,,,0.0,,,,Calcium citrate
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,,,0.0,,2.0,0.0,0.0,Vitamin C
,,,,,,,,,,,,,,,,,,,Ginkgo
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,,,,0.0,0.0,Iron
,0.0,,,,,,2.0,,,,0.0,,,,,,,,Vitamin d
,,,,,,,,,,,,2.0,,,,,,,methotraxate
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,,0.0,Ocella
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,0.0,,,0.0,,Triamcinolone Cream
