Albuterol,Cycling,cheese,Caffeine,Osteopathy,Cannabis,Ambien CR,Miralax low dose at night,Amitriptyline,farm work,tumeric extract,slept 7 hours,busy,Prednisone,excedrin migraine,ponstan,hearing aid,bread,DEHA,Vitamin b complex,overeating,Methylcobalamine,therapy session,siracha,psychologist,Magnesium,pain relief,Boswelia Complex,THC,Dandelion tea,Turmeric,Allegra,Flexeril,Goth clubbing,Physical therapy,Fish oil,Rest,Lidocaine Patch,Cane to get down stairs,laxatives,Post-op ice device,Standing desk,Home physio exercises,Bicarb on scalp,Prilosec,breathing exercises,Aromatherapy,0.9% Sodium Chloride Solution 1L,Vicodin,Charcoal,Claritin,Strattera,Low oxalate,Citalopram,Zofran,Zyrtec,Hydroxyzine,Synthroid,meds,Quell,Low-FODMAP diet,Veggies,Inderal,Buffered Salmon Oil - DHA - EPA,Recov Bipeptides,Vitamin C,Vitamin B,Probiotics,linseed,Anakinra,Tavegyl,Daytime nap,eye drops,slept 11 hours,Maxalt,Klonopin,Cetirizine,CBD,mass transit,Thyroid-Pro,Zomig,Vitamin b12,bed late,Vitamin d,Methotrexate,strength exercises,Cardio,massage,swimming,Diazepam,Yoga,Contraceptive pill,physical therapy,8.5 hours sleep,Albuterol Inhaler,Omeprazole,Acupuncture,Metformin,9 hours sleep,Physio,Topiramate,Snooze,dairy,CoQ10,Paracatamol with codeine,Trigger Points,bacon,gym,Headspace,Calcium citrate,eye compress,Tranexamic acid,rebounding,Quell Unit,Noritriptyline,Snacks,stool softener,Allergy Shots,Zinc,Ibuprofen,Nortriptyline,Melatonin,Pain management,LUSH acne spot-treatment,Imodium,10.5 hours sleep,Alcohol,small breakfast,Inolaxol,cuddled kitten,Sunlight,Pantoprazole,aqua therapy,birth control,Magnesium glycinate,5-htp,Nasonex,Fexofenadine,Rowing machine,use exercise bike,Tylenol 3,eye ointment,gluten free,Colpermin,8 hours sleep,did some homework,Athlete Vitamin,Famotidine,Iberogast,Benadryl,Protecting back,Ranitidine,strapping of shoulder,Cefaly Unit,Seasonique,Astelin,Progesterone,Ice pack,Migraine herb feverfew tablets,heating pads,Norco,Tramadol,popcorn,pool,dexamphetamine,Singulair,Sleep,long walk,Paracetamol,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol
,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Cycling
,,,,,,,,,2.0,,,2.0,,,,,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,cheese
,,,,,2.0,,,,,,,,,,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,0.0,,,,2.0,,,,,,,2.0,,,0.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Caffeine
,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,Osteopathy
,,,2.0,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,2.0,,,,0.0,,,,,,,0.0,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,2.0,,,0.0,,,,2.0,0.0,,,,2.0,,,,,,,,,,2.0,0.0,,,0.0,,0.0,,0.0,,,,,,,2.0,,,,,,,0.0,,,2.0,,0.0,2.0,,,2.0,0.0,2.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,0.0,,2.0,,,2.0,,,,,0.0,0.0,,0.0,0.0,,,,2.0,2.0,2.0,,,,,0.0,,,0.0,2.0,,2.0,,,,,2.0,,,2.0,,0.0,,0.0,0.0,,,0.0,,2.0,,,,,Ambien CR
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,Miralax low dose at night
,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,0.0,,,,,-2.22044604925e-16,,,,,,,0.0,,0.0,,,,0.0,,,,,,,,,,,,-2.22044604925e-16,,2.0,,,,0.0,0.0,,,,0.0,,,,,,,,,,,,,,,-2.22044604925e-16,,,,,,,0.0,,,,,,,-2.22044604925e-16,,0.0,,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,Amitriptyline
,,2.0,,,,,,,,,,0.0,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,farm work
