cashews,Escitalopram,Flexeril,Slept most of the day,Mt. Si ACDC 2x Coco Caps,Cefaly Unit,Weighted Blanket,Vitamin,skipped lunch,travel,nap,Seeds,slept all night,Magnesium,gluten,Tetralabs Gold Caps,ate almonds,Esopram,Ate crab,ate breakfast,Tetralabs Gold Caps CBN,row
,2.0,,0.0,,,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,cashews
2.0,,,2.0,,,,,0.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,,Escitalopram
,,,,0.0,0.0,0.0,0.0,,,,,,,,2.0,,2.0,,,0.0,Flexeril
0.0,2.0,,,,,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,Slept most of the day
,,0.0,,,0.0,,,,,,,,,,2.0,,,,,0.0,Mt. Si ACDC 2x Coco Caps
,,0.0,,0.0,,,,,,,,,,,2.0,,,,,0.0,Cefaly Unit
,,0.0,,,,,0.0,,,,,,,,,,2.0,,,,Weighted Blanket
,,0.0,,,,0.0,,,,,,,,,,,2.0,,,,Vitamin
2.0,0.0,,2.0,,,,,,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,,2.0,2.0,,skipped lunch
0.0,2.0,,0.0,,,,,2.0,,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,travel
0.0,2.0,,0.0,,,,,2.0,0.0,,2.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,nap
2.0,0.0,,2.0,,,,,0.0,2.0,2.0,,2.0,2.0,2.0,,2.0,,2.0,2.0,,Seeds
0.0,2.0,,0.0,,,,,2.0,0.0,0.0,2.0,,0.0,0.0,,0.0,,0.0,0.0,,slept all night
0.0,2.0,,0.0,,,,,2.0,0.0,0.0,2.0,0.0,,0.0,,0.0,,0.0,0.0,,Magnesium
0.0,2.0,,0.0,,,,,2.0,0.0,0.0,2.0,0.0,0.0,,,0.0,,0.0,0.0,,gluten
,,2.0,,2.0,2.0,,,,,,,,,,,,,,,2.0,Tetralabs Gold Caps
0.0,2.0,,0.0,,,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,,,0.0,0.0,,ate almonds
,,2.0,,,,2.0,2.0,,,,,,,,,,,,,,Esopram
0.0,2.0,,0.0,,,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,,0.0,,Ate crab
0.0,2.0,,0.0,,,,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,0.0,,,ate breakfast
,,0.0,,0.0,0.0,,,,,,,,,,2.0,,,,,,Tetralabs Gold Caps CBN
