Valdoxan,Migraine Diet,Vyvanse,floravit iron,Eyebright Complex,Acetyl Carnitine,Lithium,Soluble Aspirin,pur-absorb iron,Vitamin d,Nasonex,Pataday,Creatine,Clonazepam,Zofran,Ecural,Buspirone,DLPA,N-Acelcysteine,antihistamines,Valium,Ventolin,Tian Ma Tou Tong - headache,Codeine,Progesterone,Spironolactone,Vitamin B,Physiotherapy,Magnesium,Iron,Multivitamin,Ondansetron,Panamax,Mirtazapine,Zoladex,Pain management,Voltaren,Nortriptyline,Vitamin B complex - 50,Wei Te Ling - heartburn,Vitamin a,Standing desk,Ibuprofen,Prednisone,linseed,row
,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,Valdoxan
0.0,,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,Migraine Diet
0.0,0.0,,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,Vyvanse
0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,floravit iron
0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,Eyebright Complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Acetyl Carnitine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lithium
0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,Soluble Aspirin
0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,pur-absorb iron
0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,2.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,Vitamin d
0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,,0.0,2.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,Nasonex
0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,Pataday
2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,,2.0,0.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,,2.0,Creatine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Clonazepam
0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,,,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,Zofran
2.0,2.0,2.0,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,0.0,,2.0,,2.0,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,,2.0,Ecural
0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,,0.0,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,Buspirone
0.0,0.0,0.0,0.0,0.0,,,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,DLPA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,N-Acelcysteine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,antihistamines
