Diazepam,Sewing,Ritalin,danced,hiking,Cod liver oil,IVIG,Pepto-bismol,Albuterol Inhaler,walked,worked,ate breakfast,Vitamin D3,Clonazepam,Risperidone,housework,gaming,Dexedrine,Psyllium husk,Zantac,hearing aid,Deep Breathing,banana,exercise,rest day,Benadryl,Ranitidine,Excedrin,Ligament Restore,Codeine,Oxcarbazepine,Calcium citrate,Vitamin C,Lamictal,pasta,Adderall,catheter,Heathen ritual,Turmeric,Cetirizine,Sleeping pills ,Tramadol,no sleep,Vitamin d,had sex,Meditation,masturbated,low protein,row
,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diazepam
,,,,,,,,,,,0.0,,,,,0.0,,,,,,,2.0,,,,,,,,,,,,,2.0,,,,2.0,,0.0,,0.0,,,,Sewing
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,,2.0,,0.0,2.0,,,,0.0,,,,,,,,,,2.0,2.0,,,,,2.0,2.0,,0.0,,,,2.0,2.0,,,,2.0,,,2.0,0.0,danced
,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,hiking
,,,,,,0.0,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,Cod liver oil
,,,,,0.0,,,,,,,0.0,,,,,,0.0,0.0,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,IVIG
,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,Pepto-bismol
,,,2.0,,,,,,,2.0,0.0,,,,2.0,,,,,,,,,,0.0,0.0,,,,,0.0,0.0,,2.0,,,,0.0,0.0,,,,0.0,,,0.0,2.0,Albuterol Inhaler
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,walked
