Albuterol,physical therapy,Acetyl-l-carnitine,0.9% Sodium Chloride Solution 1L,Albuterol Inhaler,Vitamin B2,CoQ10,Benadryl,nsaid,Ranitidine,Zyrtec,Ibuprofen,Calcium citrate,Vitamin C,Magnesium,Vitamin d+calcium,THC,Turmeric,Escitalopram,Cetirizine,Zomig,Zinc,Vitamin d,row
,,,,,,,,,,0.0,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,0.0,,,,,,0.0,,Acetyl-l-carnitine
,,,,,,,,,,,0.0,,,,,,,,,,,,0.9% Sodium Chloride Solution 1L
,,,,,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,0.0,Albuterol Inhaler
,,,,,,0.0,,,,,,,,,,,,,,,,,Vitamin B2
,,,,,0.0,,,,,,,,,,,,,,,,,,CoQ10
,,,,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,0.0,Benadryl
,,,,,,,,,,,,,,,,0.0,,,,,,,nsaid
,,,,0.0,,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,,,0.0,Ranitidine
0.0,,,,,,,,,,,,,,,,,,,,,,,Zyrtec
,,,0.0,,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,0.0,,,0.0,,0.0,,,,0.0,,,,0.0,,0.0,,,0.0,Calcium citrate
,,,,0.0,,,0.0,,0.0,,,0.0,,,,,0.0,,0.0,,,0.0,Vitamin C
,,,,,,,,,,,,,,,,,,0.0,,,,,Magnesium
,,0.0,,,,,,,,,,,,,,,,,,,0.0,,Vitamin d+calcium
,,,,,,,,0.0,,,,,,,,,,,,,,,THC
,,,,0.0,,,0.0,,0.0,,,0.0,0.0,,,,,,0.0,,,0.0,Turmeric
,,,,,,,,,,,,,,0.0,,,,,,,,,Escitalopram
,,,,0.0,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,,,,0.0,Cetirizine
,,,,,,,,,,,,,,,,,,,,,,,Zomig
,,0.0,,,,,,,,,,,,,0.0,,,,,,,,Zinc
,,,,0.0,,,0.0,,0.0,,,0.0,0.0,,,,0.0,,0.0,,,,Vitamin d
