Alcohol,physical therapy,Sunlight,Synthroid,Ambien CR,Acupuncture,birth control,Magnesium glycinate,Vitamins,5-htp,Nasonex,Claritin,tumeric extract,Strattera,Medical Marijuana,Sisu B Calm,Zofran,Hydroxyzine,Allergy Shots,eye ointment,Daily walk,meds,Weather- rain,Famotidine,Vitamin b complex,Aloe Detox Water,strapping of shoulder,Trigger Points,therapy session,Coffee,Astelin,Vitamin C,Essential oils,heating pads,Norco,THC,Meditation,Turmeric,Allegra,Klonopin,Goth clubbing,CBD,Singulair,Fish oil,stool softener,Rest,CoQ10,Vitamin b12,Post-op ice device,Zinc,Vitamin d,Ice pack,Melatonin,Extra Medications,massage
,0.0,2.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,2.0,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,,
0.0,,2.0,,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,2.0,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,,
2.0,2.0,,,2.0,,,2.0,,2.0,2.0,2.0,,2.0,,,2.0,2.0,,2.0,,2.0,,2.0,2.0,,0.0,,,,2.0,2.0,,2.0,2.0,2.0,,,2.0,2.0,,2.0,2.0,0.0,2.0,2.0,,0.0,0.0,2.0,2.0,2.0,2.0,,
,,,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,
0.0,0.0,2.0,,,,,0.0,,0.0,0.0,0.0,,0.0,,,0.0,0.0,,0.0,,0.0,,0.0,0.0,,2.0,,,,0.0,0.0,,0.0,0.0,0.0,,,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,,
,,,2.0,,,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,,,,2.0,,,,,2.0,2.0,,,,2.0,,2.0,2.0,,,,,,,2.0,2.0,2.0,,2.0,2.0,,,2.0,2.0,,2.0,2.0,,2.0,,
,,,0.0,,2.0,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,,,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,0.0,,0.0,,
0.0,0.0,2.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0317522247873,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0317522247873,0.0495162503877,0.0,0.0,0.0,0.888947415319,0.0,0.0,0.0,0.888947415319,2.0,0.0,0.0,0.0,0.0,,
,,,,,,,,,,,,,,0.0,,,,,,0.0,,0.0,,,0.0,,,,0.0,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,0.0
0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,0.0317522247873,,,0.0,0.0,0.0,0.0,,0.0,,0.0,0.0,,2.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,,0.0317522247873,0.0495162503877,0.0,0.0,0.0,0.888947415319,0.0,0.0,0.0,0.888947415319,2.0,0.0,0.0,0.0,0.0,,
