Women's probiotic,tramadol,floravit iron,farm work,Soluble Aspirin,pur-absorb iron,Contraceptive pill,MDMA,Buspirone,DLPA,ate tomatoes,Turmeric,Kirkland Fish Oil,overeating,good nights sleep,vegan,Physiotherapy,Magnesium,Panamax,day at home,bread,grilled cheese,12K Steps,physiotherapy,Standing desk,powerlifting,Valdoxan,Omeprazole,Bicarb on scalp,Fentanyl,slept 7 hours,fast food,Charcoal,Yin Chiao,Pataday,no sleep,Zofran,Turmeric tea,Dexedrine,ate rice last night,Low-FODMAP diet,exercise,catheter,Nutrasea Fish Oil,Off work,Inderal,Superlong nap,Vitamin C,Vitamin B,Vitamin B complex - 50,Probiotics,ate salsa,grapes,Cleaning ,Prednisone,slept in,Pain management,raspberries,Nortriptyline,studied,computer game,Vitamin a,Tian Ma Tou Tong - headache,linseed,cheese,lifting things,hiking,Bu Zhong Yi Qi capsules,Vyvanse,day after weights,played computer,had sex,Eyebright Complex,singing,Magnesium gel,cobb salad,Creatine,Clonazepam,Sewing,Valium,had coffee,Morphine,gluten,Zoladex,catered food,Multivitamin,Mirtazapine,canned vegetable beef soup,ate breakfast,social gathering,Ibuprofen,Sleeping pills ,cutting weight,Migraine Diet,Inolaxol,marijuana,Lithium,Iberogast,Nasonex,yoga,chinese takeout,Wei Zhang Shun Qi Wan,travel,Ecural,Daily walk,no lunch,ate rice,pizza,gaming,Ventolin,eggs,Vitamin d,Codeine,Gan Mao Qing anti-viral,Progesterone,Spironolactone,Voltaren,Iron,Adderall,Ondansetron,Ferrous sulfate,walked,Wei Te Ling - heartburn,Montelukast,Gui Pi Pills,swimming,ate cheese-again,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Women's probiotic
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tramadol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,floravit iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,farm work
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Soluble Aspirin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pur-absorb iron
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Contraceptive pill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,MDMA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Buspirone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DLPA
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,ate tomatoes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Turmeric
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Kirkland Fish Oil
