Cod liver oil,paperwork,Ferrous fumarate,Lansoprazole,Cyclizine,Flecainide,had sex,Levothyroxine,Amitriptyline,laundry,fuck yeah avocado,hand and face physio only,no sleep last night,Folic acid,Hydroxyzine,sugar,washing up,meds,Topiramate,had sex last night,took sleeping pill,Ponaris,Morphine,Ibuprofen,vacuuming,Daytime nap,Vitamin C,had sex ,blowjob,Mebeverine,Melatonin,Cleaning ,church,Canned pumpkin,read book,crawled,cuddles!,walked,cooked,Ate poorly,Church,cocodamol,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cod liver oil
,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,2.0,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,,,,paperwork
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ferrous fumarate
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lansoprazole
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flecainide
,0.0,,,,,,,,0.0,0.0,0.0,2.0,,,0.0,,,,2.0,2.0,,,0.0,0.0,,,0.0,2.0,,,,,,,,,2.0,0.0,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Levothyroxine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,0.0,,,,,0.0,,,,0.0,0.0,,,,,,,,2.0,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,,,,laundry
,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,,2.0,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,,,,fuck yeah avocado
,0.0,,,,,0.0,,,0.0,0.0,,,,,,,,,2.0,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,0.0,,,,hand and face physio only
,,,,,,2.0,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,no sleep last night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Folic acid
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hydroxyzine
,,,,,,0.0,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,,,,sugar
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,washing up
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,meds
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Topiramate
,2.0,,,,,2.0,,,2.0,2.0,2.0,,,,,,,,,,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,2.0,,,,had sex last night
,,,,,,2.0,,,,,,0.0,,,2.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,took sleeping pill
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ponaris
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Morphine
,0.0,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,2.0,,,,,0.0,0.0,,0.0,2.0,,,,2.0,,,2.0,,,0.0,2.0,0.0,,Ibuprofen
,0.0,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,2.0,,,,0.0,,,,0.0,2.0,,,,,,,,,,0.0,,,,vacuuming
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,2.0,,,2.0,,,,2.0,0.0,,Daytime nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin C
,0.0,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,2.0,,,,0.0,0.0,,,,2.0,,,,,,,,,,0.0,,,,had sex 
,2.0,,,,,2.0,,,2.0,2.0,2.0,,,,,,,,0.0,,,,2.0,2.0,,,2.0,,,,,,,,,,,2.0,,,,blowjob
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mebeverine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Melatonin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cleaning 
,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,0.0,,,,0.0,2.0,,church
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Canned pumpkin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,read book
,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,0.0,,,,,,,0.0,2.0,,crawled
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cuddles!
,,,,,,2.0,,,,,,0.0,,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,walked
,0.0,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,2.0,,,,0.0,0.0,,,0.0,2.0,,,,,,,,,,,,,,cooked
,,,,,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,0.0,,,0.0,,,,,2.0,,Ate poorly
,,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,2.0,,,2.0,,,,2.0,,,Church
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cocodamol
