Vitamins,Phyical Therapy - stretches,Osteopathy,Toprol,Zolmitriptan,digestive enzyme,Feverfew,foot brace,Gravol,Vitamin b complex,Dexedrine,Probiotic,Coenzyme q-10,TigerBalm,Flexeril,CrossFit,Guarana & Ginseng,Eicosapentaenoic acid,Corticosteroids,Tretinoin,Ritalin,exercise - dancing,Butterbur,Acetaminophen,Solifenacin,Docosahexaenoic acid,Clinda-derm,low acid,excedrin migraine,Biotin,Carbomer eye drops,b12 injection,Gabapentin,Medication,Cetirizine,Vitamin B,Zomig,Ginger,Hydrocortisone,Vitamin b12,Vitamin d,Curcumin,Triamcinolone,Echinacea,Florinef,Metformin,Daytime sleep,Sitting,Ribose,occular migraine meds,alverine,SAM-E,Calcium citrate,Nycopro Probiotic,Tranexamic acid,Folic acid,Dicyclomine,BeachBody OnDemand,Cyclizine,Selenium,Pantoprazole,5-htp,Peristeen,Fexofenadine,Darifenacin,Cetirizine hydrochloride,No red meat,Monteluklast,Ubiquinol,Valerian,Achy breaky rub,elliptical,Piyo,flu vaccine injection,Benadryl,Enada,Seasonique,Cerelle,Codeine,Progesterone,Support worker assistance,Iron,Adderall,catheter,Cetraben cream,Iodine,Relaxing,Glycine,Montelukast,Sleep,Passionflower,row
,,,,,,,2.0,2.0,0.0,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,2.0,,,0.0,,,,0.0,2.0,,,,0.0,,2.0,,,,Vitamins
,,0.0,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,Phyical Therapy - stretches
,0.0,,,0.0,,,,,,,,,,0.0,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,0.0,0.0,,,,,,,,,,,,0.0,,,,0.0,0.88645340884,,,0.0,,,,0.725278872103,,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.359815600335,,,,,,,0.327080966001,,,,,0.0,0.255430559353,,,,,0.27298684745,0.0,,,,0.0,,,,,,,,,0.359815600335,,,Zolmitriptan
,,,,,,2.0,,,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,,,,,,,,,,,,,0.0,2.0,,,,,0.0,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,digestive enzyme
,,,,,2.0,,,,,,1.67592496414e-06,,0.0,,,0.0,,,,0.0208957116626,,,,0.00559150800425,,,,,,0.0,,,,,,,0.0,2.0,1.67592496414e-06,,,,,2.0,,,,0.0,,0.0,0.0,,,,,,0.0,0.00093797450222,,,,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,1.67592496414e-06,Feverfew
2.0,,,,,,,,0.0,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,0.0,,,,2.0,,0.0,,,,foot brace
2.0,,,,,,,0.0,,2.0,,,0.0,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,0.0,,,,2.0,,0.0,,,,Gravol
0.0,,,,,,,2.0,2.0,,,,2.0,,,,,0.0,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,2.0,,,0.0,,,,0.0,2.0,,,,0.0,,2.0,,,,Vitamin b complex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Dexedrine
,,,,,2.0,1.67592496414e-06,,,,,,,0.0,,,0.0,,,,0.0212696628449,,,,0.00578651096101,,,,,,0.0,,,,,,,0.0,2.0,1.11022302463e-16,,,,,2.0,,,,0.0,,0.0,0.0,,,,,,0.0,0.00101892650228,,,,,,0.0,,,0.0,,,,,0.0,,,,,0.0,,,,,,,0.0,,,,,,1.11022302463e-16,Probiotic
2.0,,,,,,,0.0,0.0,2.0,,,,,,,,2.0,,,,,,,,2.0,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,0.0,,,,2.0,0.0,,,,,,,0.0,,,2.0,,,,2.0,0.0,,,,2.0,,0.0,,,,Coenzyme q-10
,,,,,2.0,0.0,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,2.0,0.0,,,,,2.0,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,TigerBalm
,0.0,0.0,,0.0,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,Flexeril
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,CrossFit
,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,,0.0,,,,,,,0.0,,0.0,,,,,,,,,0.0,,0.0,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,Guarana & Ginseng
0.0,,,,,,,2.0,2.0,0.0,,,2.0,,,,,,,,,,,,,0.0,,,,,,2.0,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,,,,,2.0,,2.0,,,,0.0,2.0,,,,,,,2.0,,,0.0,,,,0.0,2.0,,,,0.0,,2.0,,,,Eicosapentaenoic acid
,0.0,0.0,,0.0,,,,,,,,,,0.0,,,,,0.0,,,0.0,,,,0.0,,,,,,,0.0,,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,,,,,,,,,0.0,,,Corticosteroids
