8k steps,Hemorrhoid Cream,Fluids,Amitriptyline,played video games,Prednisone,Flonase,Diary,Iceburg Lettuce,Mirtazapine,Probiotic,ate gluten,Magnesium,day at home,Slept a lot,Flexeril,11K steps,Hiking,Fish oil,Rest,Triamcinolone Cream,spent day with others,took naps,Language Learning,slept 7 hours,ASMR,Coffee,Yin Chiao,Gluten,grocery shopping,Synthroid,SPD alternative treatments,Umeboshi,exercise,Humira,Pet Therapy,Superlong nap,breathing exercises,Daytime nap,Cleaning ,Vitamin C,Massage ,studied,hydrocortisone suppository ,fun shopping,Vitamin d,Late lunch,Canadian Bacon,massage,Yoga,hiking,fructose,shopped,had sex,Metformin,Bactrim,walked the dogs,Infection,15K steps,Therapy,Fructose,slept late,Taco Bell,Medication,2K steps,Slept during day,fructose ,Ibuprofen,Tylenol,Melatonin,TENS Unit,Valacyclovir,Nap,yoga,Wei Zhang Shun Qi Wan,Ocella,Exercise--walking,Ranitidine,Neti Pot,Kayaking,Gan Mao Qing anti-viral,Progesterone,Essential oils,Iron,Tian Ma Tou Tong - headache,Ondansetron,Biking,Pataday,Car travel,Fishing,Paracetamol,travel,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8k steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Hemorrhoid Cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fluids
,,,,,,,,,,,-1.0,,,,-1.0,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,-1.0,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,played video games
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Flonase
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Diary
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Iceburg Lettuce
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mirtazapine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
