humid,Probably have some kind of bug,lots of napping,Ate more than yesterday,PMDD,fine,ate breakfast,runny nose,smoothie,Storms,storms,travelling,Bed after midnight,roof of mouth,bit grumpy,period,uneventful,disappointed,Wind,nausea,Bummed out,lost,frustrated,cloudy,mentally alert,in pain,Worried about uni,saw doctor,tired,cold feet at night,Not much food,Headache,Heavy flow,Made dinner,could not complete activity,withdrawn,stomach cramping,Little activity,hair improved,faitgue,lazy,Slept well,mouth ulcer,slow day,Upset,moody,overall good day,Cold,some activity,PMS,gums,hopeless,stressed,bad pain day,physical therapy,functional,no nap,not a lot of physical activity,Extreme naseua,ironing,No nap yesterday,Up very early,very sore,Trouble sleeping ,Pain,painful feet,Cold night,Pre-storm,reflective,happy,Cold and sore feet,sullen mood,sore,sore gums,stomach bug,Stressed,went on run,depressed,reflux,Sore feet and legs,woke up early,failed stats,very tired,joint pain,Nap,walked,anger,Brittle hair,skipped hydrotherapy,eyes hurt,Lots of activity,not enough sleep ,allergies,isolated,got up late,housework,no lunch,up early,fever,pain,Humidity,fatigue,Got up early,hot weather,alcohol,good sleep,No nap,Weather,Lowly,row
,,,,0.0,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,humid
,,0.0,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,Probably have some kind of bug
,0.0,,0.0,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,lots of napping
,0.0,0.0,,,,,2.0,,,,2.0,2.0,,2.0,,,2.0,,0.0,0.0,,2.0,,2.0,,0.0,2.0,,2.0,0.0,0.0,,2.0,0.0,,2.0,2.0,,,2.0,,2.0,0.0,2.0,,2.0,2.0,0.0,,,,0.0,,0.0,,2.0,2.0,0.0,2.0,0.0,0.0,2.0,2.0,,2.0,2.0,,,,2.0,2.0,,,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,,2.0,0.0,2.0,,2.0,2.0,2.0,,,,0.0,2.0,0.0,2.0,,,,,2.0,,0.0,2.0,0.0,,,Ate more than yesterday
0.0,,,,,,,,,0.0,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,PMDD
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fine
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,ate breakfast
,2.0,2.0,2.0,,,,,,,,0.0,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,runny nose
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,smoothie
0.0,,,,0.0,,,,,,2.0,,,0.0,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,Storms
2.0,,,,2.0,,,,,2.0,,,,2.0,,2.0,,,2.0,,,2.0,,2.0,,,,,,,,2.0,2.0,,,2.0,,,2.0,2.0,,,,,,2.0,,,,2.0,2.0,,2.0,0.0,,,,,,,,,,,2.0,,,2.0,2.0,,,,2.0,2.0,,,,2.0,,,,,,0.0,,,,2.0,,,,,2.0,2.0,,,,,2.0,2.0,2.0,2.0,,2.0,,,,2.0,2.0,storms
,2.0,2.0,2.0,,,,0.0,,,,,0.0,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,travelling
,2.0,2.0,2.0,,,,0.0,,,,0.0,,,0.0,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,Bed after midnight
0.0,,,,0.0,,,,,0.0,2.0,,,,,0.0,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,roof of mouth
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,,,,0.0,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,bit grumpy
0.0,,,,0.0,,,,,0.0,2.0,,,0.0,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,0.0,,,0.0,,,0.0,0.0,,,,,,0.0,,,,0.0,0.0,,0.0,2.0,,,,,,,,,,,0.0,,,0.0,0.0,,,,0.0,0.0,,,,0.0,,,,,,2.0,,,,0.0,,,,,0.0,0.0,,,,,0.0,0.0,0.0,0.0,,0.0,,,,0.0,0.0,period
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,uneventful
,2.0,2.0,2.0,,,,0.0,,,,0.0,0.0,,0.0,,,,,2.0,2.0,,0.0,,0.0,,2.0,0.0,,0.0,2.0,2.0,,0.0,2.0,,0.0,0.0,,,0.0,,0.0,2.0,0.0,,0.0,0.0,2.0,,,,2.0,,2.0,,0.0,0.0,2.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,,,,0.0,0.0,,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,2.0,0.0,,0.0,0.0,0.0,,,,2.0,0.0,2.0,0.0,,,,,0.0,,2.0,0.0,2.0,,,disappointed
