8k steps,Ritalin,Contraceptive pill,Bicarb on scalp,had sex,Omeprazole,Acetyl Carnitine,Lithium,Soluble Aspirin,Exercise,Fexofenadine,Panamax,Prednisone,Creatine,Clonazepam,use exercise bike,Risperidone,N-Acelcysteine,Low-FODMAP diet,Deep Breathing,distraction,Inolaxol,Stretching,11k steps,Social interactions,Physical activity,SAD Light Box,Modulen,busy,Probiotics,Lamictal,ate breakfast,Placebo,5k steps,Mirtazapine,11K steps,antihistamines,Sertraline,Nortriptyline,12K Steps,Sleep,Zinc,Hobbies,Meditation,13k steps,Multi-vitamin,row
,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,0.0,,,,2.0,,2.0,,,,0.0,,,,,0.0,0.0,8k steps
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
0.0,,,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,0.0,,,,2.0,,2.0,,,,0.0,,,,,0.0,0.0,Contraceptive pill
0.0,,0.0,,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,0.0,,,,2.0,,2.0,,,,0.0,,,,,0.0,0.0,Bicarb on scalp
0.0,,0.0,0.0,,0.0,,,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,0.0,,,,2.0,,2.0,,,,0.0,,,,,0.0,0.0,had sex
0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,0.0,,,,2.0,,2.0,,,,0.0,,,,,0.0,0.0,Omeprazole
,,,,,,,0.0,0.0,,,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,Acetyl Carnitine
,,,,,,0.0,,0.0,,,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,Lithium
,,,,,,0.0,0.0,,,,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,Soluble Aspirin
,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,0.0,0.0,0.0,,,,Exercise
,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,0.0,,,,,,,,,,,,,,Fexofenadine
,,,,,,0.0,0.0,0.0,,,,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,Panamax
,,,,,,2.0,2.0,2.0,,,2.0,,2.0,2.0,,,2.0,,,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,Prednisone
,,,,,,0.0,0.0,0.0,,,0.0,2.0,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,Creatine
,,,,,,0.0,0.0,0.0,,,0.0,2.0,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,Clonazepam
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,use exercise bike
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Risperidone
,,,,,,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,N-Acelcysteine
0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,0.0,2.0,2.0,,,,,,0.0,,,,2.0,,2.0,,,,0.0,,,,,0.0,0.0,Low-FODMAP diet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Deep Breathing
,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,distraction
0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,,2.0,2.0,,,,,,0.0,,,,2.0,,2.0,,,,0.0,,,,,0.0,0.0,Inolaxol
2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,2.0,,,2.0,,0.0,,,,,,2.0,,,,0.0,,0.0,,,,2.0,,,,,2.0,2.0,Stretching
2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,2.0,,,2.0,0.0,,,,,,,2.0,,,,0.0,,0.0,,,,2.0,,,,,2.0,2.0,11k steps
,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,Social interactions
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Physical activity
,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,0.0,,,0.0,,0.0,,,,SAD Light Box
,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,Modulen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,busy
0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,,,,,2.0,,2.0,,,,0.0,,,,,0.0,0.0,Probiotics
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Lamictal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,Placebo
2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,2.0,,,2.0,0.0,0.0,,,,,,2.0,,,,,,0.0,,,,2.0,,,,,2.0,2.0,5k steps
,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,0.0,,,0.0,,0.0,,,,Mirtazapine
2.0,,2.0,2.0,2.0,2.0,,,,,,,,,,,,,2.0,,,2.0,0.0,0.0,,,,,,2.0,,,,0.0,,,,,,2.0,,,,,2.0,2.0,11K steps
,,,,,,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,antihistamines
,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,,,,0.0,,0.0,,,,Sertraline
,,,,,,0.0,0.0,0.0,,,0.0,2.0,0.0,0.0,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Nortriptyline
0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,0.0,,,,2.0,,2.0,,,,,,,,,0.0,0.0,12K Steps
,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,,,0.0,,,,Sleep
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zinc
,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,0.0,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,Hobbies
,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,Meditation
0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,0.0,,,,2.0,,2.0,,,,0.0,,,,,,0.0,13k steps
0.0,,0.0,0.0,0.0,0.0,,,,,,,,,,,,,0.0,,,0.0,2.0,2.0,,,,,,0.0,,,,2.0,,2.0,,,,0.0,,,,,0.0,,Multi-vitamin
