Womans balance,Pro Omega 2000 Fish Oil,Iodine,Greens First Powder,Chiropractic adjustment,B Complex,B12 drops,Coffee,Ginger,Folate,Vitamin C,anti-nausea pills,EnzymixPro,Klaire Ther-biotic,Ibuprofen,Progesterone,Magnesium glycinate,shoulder stretching,hip abduction,row
,,,,,,,,,,,,,,,,,,,Womans balance
,,,,,,,,,,,,,,,,,,,Pro Omega 2000 Fish Oil
,,,,,,,,,,,,,,,,,,,Iodine
,,,,,,,,,,,,,,,,,,,Greens First Powder
,,,,,,,,,,,,,,,,,,,Chiropractic adjustment
,,,,,,,,,,,,,,,,,,,B Complex
,,,,,,,,,,,,,,,,,,,B12 drops
,,,,,,,,,,,,,,,,,,,Coffee
,,,,,,,,,,,,,,,,,,,Ginger
,,,,,,,,,,,,,,,,,,,Folate
,,,,,,,,,,,,,,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,anti-nausea pills
,,,,,,,,,,,,,,,,,,,EnzymixPro
,,,,,,,,,,,,,,,,,,,Klaire Ther-biotic
,,,,,,,,,,,,,,,,,,,Ibuprofen
,,,,,,,,,,,,,,,,,,,Progesterone
,,,,,,,,,,,,,,,,,,,Magnesium glycinate
,,,,,,,,,,,,,,,,,,,shoulder stretching
,,,,,,,,,,,,,,,,,,,hip abduction
