Women's probiotic,cheese,tramadol,floravit iron,spicy food,Soluble Aspirin,pur-absorb iron,busy,Prednisone,MDMA,sugar,Buspirone,dairy,DLPA,humira shot day,Kirkland Fish Oil,coffee,ate gluten,Stretching,good nights sleep,vegan,goat cheese,Physiotherapy,Magnesium,Panamax,THC,Turmeric,Slept most of the day,rice drink breakfast,ate popcorn,Standing desk,gluten free prezels,powerlifting,Valdoxan,fast food,Yin Chiao,Pataday,grocery shopping,Zofran,physiotherapy,Turmeric tea,ate breakfast,Nutrasea Fish Oil,eat two Luna bars,Superlong nap,Vitamin C,Vitamin B,Vitamin B complex - 50,linseed,Cleaning ,slept in,Pain management,raspberries,Nortriptyline,Vitamin a,Tian Ma Tou Tong - headache,ate unhealthy,danced,hiking,Bu Zhong Yi Qi capsules,Vyvanse,played computer,had sex,Eyebright Complex,8 hours of sleep,Magnesium gel,cobb salad,Creatine,Clonazepam,vacation,worked in garden,slept late,banana,Valium,shopping,gluten,Zoladex,Breakfast out,Multivitamin,Mirtazapine,Gardening,computer game,salad,Ibuprofen,cutting weight,Spinal epidural,Migraine Diet,small breakfast,Imodium,QUBECO SSI,Lithium,Ventolin,yoga,Wei Zhang Shun Qi Wan,10 hours interrupted sleep,Ecural,Daily walk,Ginkgo,party,nsaid,Hiked,Nasonex,eggs,Vitamin d,Codeine,Mixed nuts snack,Gan Mao Qing anti-viral,Progesterone,Spironolactone,Voltaren,Iron,Ondansetron,one coffee,Ferrous sulfate,walked,Wei Te Ling - heartburn,no gluten,mango,Sleep,Gui Pi Pills,egg,row
,,2.0,0.0,,0.0,2.0,,,2.0,,2.0,,2.0,,0.0,,,,2.0,2.0,,0.0,0.0,2.0,,,,,,0.0,,2.0,2.0,,,0.0,,2.0,2.0,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,2.0,0.0,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,2.0,0.0,,0.0,0.0,,2.0,,0.0,2.0,,2.0,,,,0.0,2.0,2.0,,,0.0,,,,,,2.0,,0.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,0.0,,2.0,,,,2.0,,Women's probiotic
,,,,,,,,,,2.0,,,,,,0.0,,,,,2.0,,,,,,2.0,,,,2.0,,,,,,0.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,cheese
2.0,,,2.0,,2.0,0.0,,,0.0,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,tramadol
0.0,,2.0,,,0.0,2.0,,,2.0,,2.0,,2.0,,0.0,,,,2.0,2.0,,0.0,1.37412016026,2.0,,0.0,,,,0.0,,2.0,2.0,,0.0,1.61423908021,,2.0,2.0,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,0.0,,2.0,0.401808948785,,2.0,0.248712703338,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,1.71194845597,0.0,,0.0,0.167400510749,,2.0,,1.29258317232,2.0,,2.0,,,,0.0,2.0,2.0,2.0,,0.0,0.0,,,,,2.0,,1.3392733432,2.0,,0.0,1.96565460991,2.0,2.0,2.0,1.59112817882,,0.0,,2.0,,,,2.0,,floravit iron
,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,0.0,0.0,,,,spicy food
0.0,,2.0,0.0,,,2.0,,,2.0,,2.0,,2.0,,0.0,,,,2.0,2.0,,0.0,0.0,2.0,,,,,,0.0,,2.0,2.0,,,0.0,,2.0,2.0,2.0,,0.0,,2.0,0.0,2.0,2.0,0.0,,,2.0,2.0,,2.0,0.0,,,,2.0,2.0,2.0,2.0,2.0,,0.0,2.0,0.0,0.0,,,,,2.0,,2.0,0.0,,0.0,0.0,,2.0,,0.0,2.0,,2.0,,,,0.0,2.0,2.0,,,0.0,,,,,,2.0,,0.0,2.0,,,2.0,2.0,2.0,2.0,2.0,,0.0,,2.0,,,,2.0,,Soluble Aspirin
2.0,,0.0,2.0,,2.0,,,,0.0,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,pur-absorb iron
,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,,,,,,,0.0,,0.0,,,0.0,,,,,0.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,0.0,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
2.0,,0.0,2.0,,2.0,0.0,,,,,0.0,,0.0,,2.0,,,,0.0,0.0,,2.0,2.0,0.0,,,,,,2.0,,0.0,0.0,,,2.0,,0.0,0.0,0.0,,2.0,,0.0,2.0,0.0,0.0,2.0,,,0.0,0.0,,0.0,2.0,,,,0.0,0.0,0.0,0.0,0.0,,2.0,0.0,2.0,2.0,,,,,0.0,,0.0,2.0,,2.0,2.0,,0.0,,2.0,0.0,,0.0,,,,2.0,0.0,0.0,,,2.0,,,,,,0.0,,2.0,0.0,,,0.0,0.0,0.0,0.0,0.0,,2.0,,0.0,,,,0.0,,MDMA
