Diazepam,Excedrin tension headache,Yoga,Contraceptive pill,Migraine Diet,physical therapy,Bicarb on scalp,L-methylfolate,Sunlight,Acetyl-l-carnitine,Compression Stockings,Therapy,birth control,Aspirin,colofac mr,sugar free diet,Ibuprofen 600mg,Citalopram,Cambia,Daily walk,excedrin migraine,Fruit,Exercise--walking,elliptical,Umeboshi,hearing aid,Subling B12,Inolaxol,Zyrtec,Excedrin,Stretching,Oxcarbazepine,Medication,Probiotics,wear mask,Glucosamine,Multivitamin,Vitamin d+calcium,Keppra,Cleaning ,Gabapentin,Mersyndol Forte,Azathioprine,Kuzu,Albuterol,Low-FODMAP diet,Pentasa,Dandelion tea,massage,Zinc,Ibuprofen,Counseling,Meditation,Multi-vitamin,Lexapro,Pristiq
,,,,,,,-2.22044604925e-16,0.0,,,,0.0,-2.22044604925e-16,,,,,0.0,,,,,,,2.0,,,,,,,,,,-2.22044604925e-16,0.0,,-2.22044604925e-16,0.0,-2.22044604925e-16,,,,,,,2.0,0.0,,,,0.0,,-2.22044604925e-16,-2.22044604925e-16
,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,0.0,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,
,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,
,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,
-2.22044604925e-16,,,,,,,,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,-2.22044604925e-16,0.0,,0.0,0.0,-2.22044604925e-16,,,,,,,,0.0,,,,0.0,,-2.22044604925e-16,-2.22044604925e-16
0.0,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,0.0,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,
,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,,,,0.0,,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,0.0,0.0
-2.22044604925e-16,,,,,,,0.0,0.0,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,-2.22044604925e-16,0.0,,0.0,0.0,-2.22044604925e-16,,,,,,,,0.0,,,,0.0,,-2.22044604925e-16,-2.22044604925e-16
,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,
0.0,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,1.11022302463e-16,,,,1.11022302463e-16,,0.0,0.0
,,2.0,,,,,,,,,,,,,,,2.0,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,2.0,2.0,,,2.0,,,,,,,,,
,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,0.0,,,,,,,,,
,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,,0.0,0.0,,,,0.0,0.0,,,,,,,,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,0.0,,,,,,,,0.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,
,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,,
,,,,0.0,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,
-2.22044604925e-16,,,,,,,-2.22044604925e-16,0.0,,,,0.0,-2.22044604925e-16,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,-2.22044604925e-16,0.0,-2.22044604925e-16,,,,,,,,0.0,,,,0.0,,-2.22044604925e-16,-2.22044604925e-16
0.0,,,,,,,0.0,,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,,,0.0,,0.0,0.0
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,
-2.22044604925e-16,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,0.0,,,,,,,,,,,,,,,,,-2.22044604925e-16,0.0,,,0.0,-2.22044604925e-16,,,,,,,,0.0,,,,0.0,,-2.22044604925e-16,-2.22044604925e-16
0.0,,,,,,,0.0,0.0,,,,,0.0,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,0.0,,,,,,,,0.0,,0.0,,0.0,,0.0,0.0
-2.22044604925e-16,,,,,,,-2.22044604925e-16,0.0,,,,0.0,-2.22044604925e-16,,,,,0.0,,,,,,,,,,,,,,,,,-2.22044604925e-16,0.0,,-2.22044604925e-16,0.0,,,,,,,,,0.0,,,,0.0,,-2.22044604925e-16,-2.22044604925e-16
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,
,,0.0,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,0.0,0.0,,0.0,,,,,,,,0.0,,,,,,,0.0,,,,,,0.0,,,0.0,,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,0.0,,
,,0.0,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,1.11022302463e-16,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,,,,,1.11022302463e-16,,0.0,0.0
,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,
,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,,,,,0.0,0.0,,,,0.0,0.0,,,,,1.11022302463e-16,,,,,,,,,,,,,,,,,0.0,0.0,,0.0,0.0,0.0,,,,,,,,1.11022302463e-16,,,,,,0.0,0.0
,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,0.0,,,,,,,,,,,,0.0,,,,,,,,,,
-2.22044604925e-16,,,,,,,-2.22044604925e-16,0.0,,,,0.0,-2.22044604925e-16,,,,,0.0,,,,,,,,,,,,,,,,,-2.22044604925e-16,0.0,,-2.22044604925e-16,0.0,-2.22044604925e-16,,,,,,,,0.0,,,,0.0,,,-2.22044604925e-16
-2.22044604925e-16,,,,,,,-2.22044604925e-16,0.0,,,,0.0,-2.22044604925e-16,,,,,0.0,,,,,,,,,,,,,,,,,-2.22044604925e-16,0.0,,-2.22044604925e-16,0.0,-2.22044604925e-16,,,,,,,,0.0,,,,0.0,,-2.22044604925e-16,
