Superlong nap,forgot to enter,hiking,tired,good sleep,angry,pms,scattered,alcohol,dizzy,had sex,stressed,wasted,i don't even know
,,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,
,,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0
0.0,,,0.0,0.0,0.0,,,0.0,,0.0,0.0,,
0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,,0.0,0.0,,0.0,,,0.0,,0.0,0.0,,
0.0,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,
,0.0,,0.0,,,,0.0,,0.0,,,0.0,0.0
,0.0,,0.0,,,0.0,,,0.0,,,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,,,,,0.0,0.0,,
,0.0,,0.0,,,0.0,0.0,,,,,0.0,0.0
0.0,,0.0,0.0,0.0,0.0,,,0.0,,,0.0,,
0.0,,0.0,0.0,0.0,0.0,,,0.0,,0.0,,,
,0.0,,0.0,,,0.0,0.0,,0.0,,,,0.0
,0.0,,0.0,,,0.0,0.0,,0.0,,,0.0,
