Cycling,Contraceptive pill,Selenium,Levothyroxine,Amitriptyline,Yoga,Nasal spray,Rowing machine,Physio,excedrin migraine,Quell,laxatives,Colpermin,Buffered Salmon Oil - DHA - EPA,Headspace,Recov Bipeptides,Vitamin C,heating pads,linseed,pain relief,Boswelia Complex,breathing exercises,Pain management,Noritriptyline,Nortriptyline,Athlete Vitamin,Standing desk,Multi-vitamin,row
,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Cycling
,,2.0,2.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,0.0,Contraceptive pill
,2.0,,0.826335006286,,,2.0,,,,,,,,,,0.83114510574,,,,,,,,,,,2.0,Selenium
,2.0,0.826335006286,,,,2.0,,,,,,,,,,1.19180875906e-05,,,,,,,,,,,2.0,Levothyroxine
0.0,,,,,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Amitriptyline
2.0,,,,2.0,,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,Yoga
,0.0,2.0,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,0.0,Nasal spray
2.0,,,,2.0,0.0,,,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,Rowing machine
0.0,,,,0.0,2.0,,2.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Physio
0.0,,,,0.0,2.0,,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,excedrin migraine
0.0,,,,0.0,2.0,,2.0,0.0,0.0,,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Quell
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,laxatives
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Colpermin
2.0,,,,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,,2.0,2.0,,2.0,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,,Buffered Salmon Oil - DHA - EPA
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Headspace
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,Recov Bipeptides
,2.0,0.83114510574,1.19180875906e-05,,,2.0,,,,,,,,,,,,,,,,,,,,,2.0,Vitamin C
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,heating pads
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,linseed
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,pain relief
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,Boswelia Complex
2.0,,,,2.0,0.0,,0.0,2.0,2.0,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,,breathing exercises
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,,Pain management
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,Noritriptyline
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,,Nortriptyline
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,,Athlete Vitamin
0.0,,,,0.0,2.0,,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,,Standing desk
,0.0,2.0,2.0,,,0.0,,,,,,,,,,2.0,,,,,,,,,,,,Multi-vitamin
