Albuterol,Vitamins,Cod liver oil,IVIG,Naproxen,early night,played video games,ate breakfast,snuggly cat,lots of desk work,Vitamin D3,Prednisone,good breakfast,Zantac,nap,Psyllium husk,normal sleep,Self care,Dexedrine,coffee,ate badly,Walked a lot,playing music,Swimming,lifted weights,Marijuana,12K Steps,exercise,AOR Zinc-Copper Balance,Breakfast,masturbated,cookies,picnic,Dancing,Acetaminophen,eating out,cooking,Went to concert,Biotin,creative writing,worked out,made challah,Buffered Salmon Oil - DHA - EPA,Off work,Superlong nap,busy,Lamictal,Tavegyl,Sisu B Calm,WomenSense AdrenaSense Adrenal Formula,neck massage,Klonopin,slept in,Cetirizine,healthy dinner,studied,oatmeal,new environment,Vitamin d,Methotrexate,Curcumin,Tolterodine,Progressive muscle relaxation,swimming,hiking,physical therapy,Echinacea,decent sleep,Pepto-bismol,had sex,lots of walking,spinach,Biosil,went swimming,Therapy,Psychotherapy,slept late,social gathering,rest day,ate well,shopping,gluten,Trigger Points,swim class,Ligament Restore,coursera,slept 10 hours,Calcium citrate,Deep rest,Rather bad sleep,bunny cuddles,worked,pancakes dinner,Folic acid,Thyroid-Pro (CanPrev),Gardening,salad,slept 9 hours,catered food,Ibuprofen,Valtrex,marijuana,Bed at 11,prayer,breakfast,blueberries,Cetirizine hydrochloride,B12 timed release,travel,ate little,zoo,housework,Exercise--walking,ate dairy,party,Ate healthy,ate eggs,Zyrtec,medium sleep,Codeine,Support worker assistance,no breakfast,Adderall,heavy physcial exertion,Late lunch,juiced,Lymphatic massage,long shopping  trip,Valcyte,walked,cooked,Fishing,long walk,nachos,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cod liver oil
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,IVIG
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,early night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,played video games
,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,-0.0422701086794,,,,,0.846452168006,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snuggly cat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,lots of desk work
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin D3
