Medication problems,struggled to get up,Slept a lot,Painful all over,tired,depressed,stressed,Day of Rest,No sleep at all,Delusions,moved slowly,Stressed,Two days spilling on self.,"Fell asleep w drink in hand, got soaked",feel lazy,Dozing all day,sober,Slept during day,row
,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,Medication problems
,,,,2.0,,2.0,0.0,,,0.0,,,,0.0,,0.0,,struggled to get up
0.0,,,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,Slept a lot
0.0,,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,Painful all over
0.0,2.0,0.0,0.0,,0.0,0.0270070875312,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,tired
0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,depressed
0.0,2.0,0.0,0.0,0.0270070875312,0.0,,2.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,2.0,0.0,stressed
,0.0,,,2.0,,2.0,,,,0.0,,,,0.0,,0.0,,Day of Rest
0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,0.0,,0.0,,0.0,No sleep at all
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,0.0,,0.0,,0.0,Delusions
,0.0,,,2.0,,2.0,0.0,,,,,,,0.0,,0.0,,moved slowly
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,,0.0,0.0,,0.0,,0.0,Stressed
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,,0.0,,0.0,,0.0,Two days spilling on self.
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,,0.0,,0.0,"Fell asleep w drink in hand, got soaked"
,0.0,,,2.0,,2.0,0.0,,,0.0,,,,,,0.0,,feel lazy
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,,,0.0,Dozing all day
,0.0,,,2.0,,2.0,0.0,,,0.0,,,,0.0,,,,sober
0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,,,Slept during day
