Albuterol,hiking,Cycling,cheese,didn't really eat lunch,wear mask,caffeine,Toprol,Miralax low dose at night,Amitriptyline,farm work,ate breakfast,danced,busy,Prednisone,Cetraben cream,nap,Feverfew,hearing aid,Self care,coffee,Mt. Si ACDC 2x Coco Caps,Probiotic,Colpermin,Stretching,TigerBalm,Megaspore,Magnesium,pain relief,Boswelia Complex,Dandelion tea,bread,Flexeril,Slept a lot,Guarana & Ginseng,Tramadol,laxatives,Standing desk,masturbated,Ritalin,no breakfast,Bicarb on scalp,fast food,Solifenacin,Charcoal,Coffee,Synthroid,excedrin migraine,Quell,Carbomer eye drops,Low-FODMAP diet,worked out,exercise,Superlong nap,Acetaminophen plus Codeine Number 3,Tetralabs Gold Caps CBN,Inderal,Buffered Salmon Oil - DHA - EPA,med long run,Recov Bipeptides,ativan,breathing exercises,Probiotics,Lamictal,Anakinra,exercised,swimming,Klonopin,Medication,Pain management,Thyroid-Pro,Zomig,Ginger,Hydrocortisone,swam,digestive enzyme,Vitamin e,Cerelle,Methotrexate,strength exercises,Tolterodine,Progressive muscle relaxation,linseed,Diazepam,Yoga,Norco,Contraceptive pill,physical therapy,Pepto-bismol,had sex,Florinef,Omeprazole,Metformin,lots of walking,Farm,Migraine Diet,Ribose,tough half marathon,Physio,Wellbutrin,alverine,dairy,slept late,shopping,gluten,SAM-E,gym,Headspace,Garden of Life Raw Meal,Calcium,Slept during day,Quell Unit,Noritriptyline,Sertraline,anti-nausea pills,Ibuprofen,Tylenol,Nortriptyline,BeachBody OnDemand,Inolaxol,Cyclizine,overeating,dozed,Iberogast,colofac mr,Fexofenadine,Darifenacin,Rowing machine,travel,Monteluklast,Ginkgo,hot,Fruit,no lunch,Tetralabs Gold Caps,Piyo,high sodium,Zyrtec,Vitamin d,Forever Aloe Berry,high salt,heating pads,Iron,Vitamin b12,pool,Azathioprine,didn't eat breakfast,Cardio,walked,Athlete Vitamin,massage,long walk,Paracetamol,Passionflower,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hiking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cycling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cheese
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,didn't really eat lunch
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,wear mask
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,caffeine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Miralax low dose at night
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,Amitriptyline
