had a 4 hour nap right after breakfast,Alcohol,Migraine Diet,had a bath,had sex,ate red meat,12K Steps,anti-diarrhea med,washed and exfoliated my feet,lift x2,Ubiquinol,normal sleep,CoQ10,coffee,Meat,medium sleep,ate badly,Vitamin C,grapes,b12 spray,Fish oil,Zomig,stool softener,shower,nachos,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,had a 4 hour nap right after breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,Alcohol
,,,,,,,,,,,,,,,,,,,,,,,,,,Migraine Diet
,,,,,,,,,,,,,,,,,,,,,,,,,,had a bath
,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,ate red meat
,,,,,,,,,,,,,,,,,,,,,,,,,,12K Steps
,,,,,,,,,,,,,,,,,,,,,,,,,,anti-diarrhea med
,,,,,,,,,,,,,,,,,,,,,,,,,,washed and exfoliated my feet
,,,,,,,,,,,,,,,,,,,,,,,,,,lift x2
,,,,,,,,,,,,,,,,,,,,,,,,,,Ubiquinol
,,,,,,,,,,,,,,,,,,,,,,,,,,normal sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,CoQ10
,,,,,,,,,,,,,,,,,,,,,,,,,,coffee
,,,,,,,,,,,,,,,,,,,,,,,,,,Meat
,,,,,,,,,,,,,,,,,,,,,,,,,,medium sleep
,,,,,,,,,,,,,,,,,,,,,,,,,,ate badly
,,,,,,,,,,,,,,,,,,,,,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,,,,,,,,,grapes
,,,,,,,,,,,,,,,,,,,,,,,,,,b12 spray
,,,,,,,,,,,,,,,,,,,,,,,,,,Fish oil
,,,,,,,,,,,,,,,,,,,,,,,,,,Zomig
,,,,,,,,,,,,,,,,,,,,,,,,,,stool softener
,,,,,,,,,,,,,,,,,,,,,,,,,,shower
,,,,,,,,,,,,,,,,,,,,,,,,,,nachos
,,,,,,,,,,,,,,,,,,,,,,,,,,Pristiq
