afternoon coffee,rest day,crafting,danced,2 naps,ate gluten,Woke Up With Alarm,ate legumes,lift x2,cigarettes,slept well again,lift,music,cleaned closet,no breakfast,ate rice,ate dairy,daytime nap,pool,11 hours of sleep,ate grains,row
,,,,,,,,,,,,,,,,,,,,,afternoon coffee
,,,,,,,,,,,,,,,,,,,,,rest day
,,,,,,,,,,,,,,,,,,,,,crafting
,,,,,,,,,,,,,,,,,,,,,danced
,,,,,,,,,,,,,,,,,,,,,2 naps
,,,,,,,,,,,,,,,,,,,,,ate gluten
,,,,,,,,,,,,,,,,,,,,,Woke Up With Alarm
,,,,,,,,,,,,,,,,,,,,,ate legumes
,,,,,,,,,,,,,,,,,,,,,lift x2
,,,,,,,,,,,,-1.0,,,,,,,,,cigarettes
,,,,,,,,,,,,,,,,,,,,,slept well again
,,,,,,,,,,,,,,,,,,,,,lift
,,,,,,,,,-1.0,,,,,,,,,,,,music
,,,,,,,,,,,,,,,,,,,,,cleaned closet
,,,,,,,,,,,,,,,,,,,,,no breakfast
,,,,,,,,,,,,,,,,,,,,,ate rice
,,,,,,,,,,,,,,,,,,,,,ate dairy
,,,,,,,,,,,,,,,,,,,,,daytime nap
,,,,,,,,,,,,,,,,,,,,,pool
,,,,,,,,,,,,,,,,,,,,,11 hours of sleep
,,,,,,,,,,,,,,,,,,,,,ate grains
