Triamcinolone Lotion,Hemorrhoid Cream,floravit iron,Naproxen,Toprol,Amitriptyline,Soluble Aspirin,pur-absorb iron,Aspirin,Prednisone,Flonase,Buspirone,Feverfew,DLPA,Vitamin b complex,Probiotic,Stretching,TigerBalm,Physiotherapy,Magnesium,Panamax,THC,Cambia,Turmeric,Allegra,Triamcinolone Cream,Fish oil,Rest,Post-op ice device,Standing desk,cocodamol,Lexapro,Valdoxan,Ritalin,Ambien CR,Aleve,Solifenacin,Claritin,Yin Chiao,Strattera,Zofran,Hydroxyzine,Synthroid,Sauna,meds,Humira,Astelin,Vitamin C,Vitamin B,Vitamin B complex - 50,linseed,5 or more portions of fruit and veg,Equilibrant,Meditation,Cleaning ,Gabapentin,Klonopin,CBD,Voltaren,Nortriptyline,Hydrocortisone,digestive enzyme,Vitamin d,Ice pack,Mezavant,massage,Diazepam,Norco,physical therapy,Vitamin a,L-methylfolate,Vyvanse,Florinef,Eyebright Complex,Magnesium gel,sugar free diet,Creatine,Clonazepam,Migraine Diet,Plaquenil,Valium,Cranberry extract,Zoladex,Sunlight,Glucosamine,Multivitamin,Mirtazapine,Pain management,stool softener,Zinc,Ibuprofen,Melatonin,Alcohol,BeachBody OnDemand,Cyclizine,Provigil,birth control,Inflamma-blox,Magnesium glycinate,5-htp,Nasonex,Lithium,Wei Zhang Shun Qi Wan,Ecural,Vitamin b12,eye ointment,Daily walk,Exercise--walking,elliptical,Famotidine,Piyo,Topical ibuprofen,Wore arch supports all day,Ranitidine,strapping of shoulder,Ventolin,Tian Ma Tou Tong - headache,Codeine,thyroid support complex,Gan Mao Qing anti-viral,Progesterone,Spironolactone,Bovine colostrum,heating pads,Iron,Adderall,Ondansetron,Keppra,Pataday,Azathioprine,Singulair,Wei Te Ling - heartburn,Passionflower,Pristiq,row
,0.0,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Triamcinolone Lotion
0.0,,,,,,,,,2.0,0.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,0.0,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,Hemorrhoid Cream
,,,,,,0.0,0.0,,0.0,,2.0,,0.0,,2.0,,,2.0,0.961167803374,0.0,,,0.0,,,2.0,,,2.0,,,0.0,,,,,,2.0,,0.0,,2.0,,,,,,0.0,0.0,0.0,,,,0.0,,,,2.0,0.0,,,0.559662582936,,2.0,,,,,0.0,,0.0,,0.0,2.0,,2.0,2.0,0.0,,0.0,,0.0,,,0.0,0.00193623960407,0.0,,,0.907930070896,,,,,,,,,,0.0,2.0,2.0,0.0,,,0.0,,,,,,,2.0,,0.0,0.48881281984,0.0,,2.0,0.551256787485,0.0,,,0.0,,1.06824818922,,0.560597964872,,,0.0,,,floravit iron
,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Toprol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,0.0,,,,,0.0,,0.0,,2.0,,0.0,,2.0,,,2.0,0.0,0.0,,,,,,2.0,,,2.0,,,0.0,,,,,,,,0.0,,2.0,,,,,,0.0,0.0,0.0,,,,,,,,2.0,0.0,,,0.0,,2.0,,,,,0.0,,0.0,,0.0,2.0,,2.0,2.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,2.0,,0.0,,,,,,,,,,2.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,,,Soluble Aspirin
,,0.0,,,,0.0,,,0.0,,2.0,,0.0,,2.0,,,2.0,0.0,0.0,,,,,,2.0,,,2.0,,,0.0,,,,,,,,0.0,,2.0,,,,,,0.0,0.0,0.0,,,,,,,,2.0,0.0,,,0.0,,2.0,,,,,0.0,,0.0,,0.0,2.0,,2.0,2.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,,,,,0.0,2.0,,0.0,,,,,,,,,,2.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.0,,0.0,,0.0,,,0.0,,,pur-absorb iron
,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,2.0,,,,,,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,Aspirin
2.0,2.0,0.0,,,,0.0,0.0,,,2.0,2.0,,0.0,,2.0,,,2.0,0.0,0.0,,,,,0.0,2.0,,,2.0,,,0.0,,,,,,,,0.0,,2.0,2.0,,2.0,,2.0,0.0,0.0,0.0,,,,,,,,2.0,0.0,,,0.0,,2.0,,,,,0.0,,0.0,,0.0,2.0,,2.0,2.0,0.0,,0.0,,0.0,,,0.0,0.0,0.0,,,0.0,,,,,,,2.0,,,0.0,2.0,,0.0,,,,,,,,,,2.0,,0.0,0.0,0.0,,,0.0,0.0,,,0.143747724378,,0.0,,0.0,,,0.0,,,Prednisone
