cereal,fry up breakfast,beans and baked potato,hummus sandwich and salad,nutella on toast,peppermint tea,had sex,flaxseed and fybogel,ice cream,olives,dumpling stew,use exercise bike,cooking,avocado,orange and verveine tea,toast and vegg,potato curries,banana,pizza,corncakes,field mushrooms and toast,avocado bun,coco pops,Superlong nap,spicy mock beef,pasta and pesto,coco pops with rice milk,butternut squash risotto,Corn on the cob,grapes,pasta,half cupcake,hot dog,stir fry,big burger,twice baked potatoes,soup,mango,bubble and squeak roast,minestrone,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cereal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fry up breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,beans and baked potato
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hummus sandwich and salad
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,nutella on toast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,peppermint tea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,had sex
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,flaxseed and fybogel
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ice cream
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,olives
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dumpling stew
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,use exercise bike
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cooking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avocado
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,orange and verveine tea
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,toast and vegg
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,potato curries
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,banana
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pizza
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,corncakes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,field mushrooms and toast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,avocado bun
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coco pops
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Superlong nap
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,spicy mock beef
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pasta and pesto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,coco pops with rice milk
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,butternut squash risotto
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Corn on the cob
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,grapes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,pasta
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,half cupcake
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot dog
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,stir fry
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,big burger
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,twice baked potatoes
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,soup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,mango
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,bubble and squeak roast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,minestrone
