Diazepam,pilates,Wore arch supports all day,Work,Ex bike,ribs,Took ibuprophen,Stretching,cough syrup,Cranberry extract,Rest,Daytime nap,Daily walk,Topical ibuprofen,Sleep,Naproxen,5 or more portions of fruit and veg,Steps,Meditation,cocodamol,nap,row
,,,,,,,,,,,,,,,1.0,,,1.0,,,Diazepam
,,,,,,,,,,,,,,,,,,,,,pilates
,,,,,,,,,,,,,,,,,,,,,Wore arch supports all day
,,,,,,,,,,,,,,,,,,,,,Work
,,,,,,,,,,,,,,,,,,,,,Ex bike
,,,,,,,,,,,,,,,,,,,,,ribs
,,,,,,,,,,,,,,,,,,,,,Took ibuprophen
,,,,,,,,,,,,,,,,,,,,,Stretching
,,,,,,,,,,,,,,,,,,,,,cough syrup
,,,,,,,,,,,,,,,,,,,,,Cranberry extract
,,,,,,,,,,,,,,,,,,,,,Rest
,,,,,,,,,,,,,,,,,,,,,Daytime nap
,,,,,,,,,,,,,,,,,,,,,Daily walk
,,,,,,,,,,,,,,,,,,,,,Topical ibuprofen
,,,,,,,,,,,,,,,,,,,,,Sleep
1.0,,,,,,,,,,,,,,,,,,1.0,,,Naproxen
,,,,,,,,,,,,,,,,,,,,,5 or more portions of fruit and veg
,,,,,,,,,,,,,,,,,,,,,Steps
1.0,,,,,,,,,,,,,,,1.0,,,,,,Meditation
,,,,,,,,,,,,,,,,,,,,,cocodamol
,,,,,,,,,,,,,,,,,,,,,nap
