Solifenacin,Ritalin,Methylprednisolone,Prednisolone,Probiotic,BeachBody OnDemand,Cyclizine,Vitamin b12,Ginger,PeaPure,Ingefära,Fludrocortisone,Feverfew,TigerBalm,Cold Pack,Passionflower,Piyo,row
,,,,,,,,,,,,,,,,,Solifenacin
,,,,,,,,,,,,,,,,,Ritalin
,,,2.0,,,,,0.0,2.0,2.0,0.0,,,,,,Methylprednisolone
,,2.0,,,,,,2.0,0.0,0.0,2.0,,,,,,Prednisolone
,,,,,,,,,,,,,,,,,Probiotic
,,,,,,,,,,,,,,,,,BeachBody OnDemand
,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,,,,,,,Vitamin b12
,,0.0,2.0,,,,,,2.0,2.0,0.0,,,,,,Ginger
,,2.0,0.0,,,,,2.0,,0.0,2.0,,,,,,PeaPure
,,2.0,0.0,,,,,2.0,0.0,,2.0,,,,,,Ingefära
,,0.0,2.0,,,,,0.0,2.0,2.0,,,,,,,Fludrocortisone
,,,,,,,,,,,,,,,,,Feverfew
,,,,,,,,,,,,,,,,,TigerBalm
,,,,,,,,,,,,,,,,,Cold Pack
,,,,,,,,,,,,,,,,,Passionflower
,,,,,,,,,,,,,,,,,Piyo
