didn't really eat lunch,Ritalin,hiking,Cod liver oil,allergy shot,IVIG,Cyclizine,Caffeine,vacation,had sex,Florinef,Solifenacin,Vitamin D3,Off work,lifted weights,digestive enzyme,Zantac,Vitamin b12,Physio,Feverfew,Carbomer eye drops,Psyllium husk,ate dairy,broken sleep,Piyo,BeachBody OnDemand,Probiotic,Excedrin,ate eggs,Ligament Restore,TigerBalm,Daytime nap,pilates,spent day with others,worked,worked out,Cetraben cream,housework,slept in,new environment,walked,hot,Hydrocortisone,Heating Pad,Cerelle,Late lunch,Passionflower,Ate junk food,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,didn't really eat lunch
,,,,,,0.0347552586836,,,,2.0,0.00795083478148,,,,2.0,,0.00795083478148,,0.00795083478148,2.0,,,,2.0,0.0,0.00795083478148,,,,2.0,,,,,,2.0,,,,,,2.0,,0.0,,0.00795083478148,,Ritalin
,,,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,hiking
,,,,,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,Cod liver oil
,,0.0,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,allergy shot
,,,0.0,,,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,IVIG
,0.0347552586836,,,,,,,,,2.0,0.0753206008962,,,,2.0,,0.0753206008962,,0.0753206008962,2.0,,,,2.0,0.0,0.0753206008962,,,,2.0,,,,,,2.0,,,,,,2.0,,0.0,,0.0753206008962,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,Caffeine
,,0.0,,0.0,,,,,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,vacation
,,,,,,,,,,,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,2.0,2.0,,,0.0,,2.0,,,,,,,,had sex
,2.0,,,,,2.0,,,,,2.0,,,,0.0,,2.0,,2.0,,,,,0.0,2.0,2.0,,,,0.0,,,,,,,,,,,,0.0,,,,2.0,,Florinef
,0.00795083478148,,,,,0.0753206008962,,,,2.0,,,,,2.0,,3.33066907388e-16,,3.33066907388e-16,2.0,,,,2.0,0.0,3.33066907388e-16,,,,2.0,,,,,,2.0,,,,,,2.0,,0.0,,3.33066907388e-16,,Solifenacin
,,,0.0,,0.0,,,,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,Vitamin D3
,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,2.0,2.0,,,0.0,,2.0,,,,,,,,Off work
,,,,,,,,,0.0,,,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,2.0,2.0,,,0.0,,2.0,,,,,,,,lifted weights
,2.0,,,,,2.0,,,,0.0,2.0,,,,,,2.0,,2.0,,,,,0.0,2.0,2.0,,,,0.0,,,,,,,,,,,,0.0,,,,2.0,,digestive enzyme
,,,0.0,,0.0,,,,,,,0.0,,,,,,,,,0.0,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,Zantac
,0.00795083478148,,,,,0.0753206008962,,,,2.0,3.33066907388e-16,,,,2.0,,,,3.33066907388e-16,2.0,,,,2.0,0.0,3.33066907388e-16,,,,2.0,,,,,,2.0,,,,,,2.0,,0.0,,3.33066907388e-16,,Vitamin b12
,,0.0,,0.0,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,Physio
,0.00795083478148,,,,,0.0753206008962,,,,2.0,3.33066907388e-16,,,,2.0,,3.33066907388e-16,,,2.0,,,,2.0,0.0,3.33066907388e-16,,,,2.0,,,,,,2.0,,,,,,2.0,,0.0,,3.33066907388e-16,,Feverfew
,2.0,,,,,2.0,,,,,2.0,,,,,,2.0,,2.0,,,,,,,2.0,,,,,,,,,,0.0,,,,,,,,2.0,,2.0,,Carbomer eye drops
,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,,,,,,,2.0,,0.0,,,,,,,,,,,,,,,,,,,Psyllium husk
,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,,,,,,,0.0,,,,,,2.0,2.0,,,0.0,,2.0,,,,,,,,ate dairy
,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,0.0,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,broken sleep
,2.0,,,,,2.0,,,,0.0,2.0,,,,0.0,,2.0,,2.0,,,,,,2.0,2.0,,,,0.0,,,,,,,,,,,,0.0,,,,2.0,,Piyo
,0.0,,,,,0.0,,,,2.0,0.0,,,,2.0,,0.0,,0.0,,,,,2.0,,0.0,,,,2.0,,,,,,,,,,,,2.0,,,,0.0,,BeachBody OnDemand
,0.00795083478148,,,,,0.0753206008962,,,,2.0,3.33066907388e-16,,,,2.0,,3.33066907388e-16,,3.33066907388e-16,2.0,,,,2.0,0.0,,,,,2.0,,,,,,2.0,,,,,,2.0,,0.0,,3.33066907388e-16,,Probiotic
,,,2.0,,2.0,,,,,,,2.0,,,,2.0,,,,,2.0,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,Excedrin
,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,,,,,,,,,2.0,2.0,,,0.0,,2.0,,,,,,,,ate eggs
,,,0.0,,0.0,,,,,,,0.0,,,,0.0,,,,,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,Ligament Restore
,2.0,,,,,2.0,,,,0.0,2.0,,,,0.0,,2.0,,2.0,,,,,0.0,2.0,2.0,,,,,,,,,,,,,,,,0.0,,,,2.0,,TigerBalm
,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,,0.0,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,Daytime nap
,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,,0.0,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,pilates
,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,,,,,0.0,,0.0,0.0,,,,,0.0,,0.0,spent day with others
,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,2.0,,,,,,2.0,,,,,,,0.0,,,2.0,,0.0,,,,,,,,worked
,,,,,,,,,2.0,,,,2.0,2.0,,,,,,,,2.0,,,,,,2.0,,,,,,0.0,,,,2.0,,0.0,,,,,,,,worked out
,2.0,,,,,2.0,,,,,2.0,,,,,,2.0,,2.0,0.0,,,,,,2.0,,,,,,,,,,,,,,,,,,2.0,,2.0,,Cetraben cream
,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,,,0.0,0.0,,,,,0.0,,0.0,housework
,,,,,,,,,0.0,,,,0.0,0.0,,,,,,,,0.0,,,,,,0.0,,,,,,2.0,2.0,,,,,2.0,,,,,,,,slept in
,,0.0,,0.0,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,,,,,0.0,0.0,0.0,,,,0.0,,,0.0,,,,,0.0,,0.0,new environment
,,0.0,,0.0,,,,0.0,2.0,,,,2.0,2.0,,,,0.0,,,,2.0,0.0,,,,,2.0,,,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,0.0,,,,,,0.0,,0.0,walked
2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot
,2.0,,,,,2.0,,,,0.0,2.0,,,,0.0,,2.0,,2.0,,,,,0.0,2.0,2.0,,,,0.0,,,,,,,,,,,,,,,,2.0,,Hydrocortisone
