full of pain as predicted,AM meds,day after an open air concert,exhausted as predicted,very tired,drive to balt,Hot hot hotter,strong energy then CRASH,Hydrocortisone,Florinef,doctors,day after a wedding party,JBR Launch ,banana,cleaning,row
,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,0.0,full of pain as predicted
2.0,,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,AM meds
0.0,2.0,,0.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,0.0,day after an open air concert
0.0,2.0,0.0,,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,0.0,exhausted as predicted
2.0,0.0,2.0,2.0,,,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,very tired
,,,,,,,,,,,,,,,drive to balt
2.0,0.0,2.0,2.0,0.0,,,0.0,0.0,2.0,0.0,0.0,,0.0,2.0,Hot hot hotter
2.0,0.0,2.0,2.0,0.0,,0.0,,0.0,2.0,0.0,0.0,,0.0,2.0,strong energy then CRASH
2.0,0.0,2.0,2.0,0.0,,0.0,0.0,,2.0,0.0,0.0,,0.0,2.0,Hydrocortisone
0.0,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,,2.0,2.0,,2.0,0.0,Florinef
2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,,0.0,,0.0,2.0,doctors
2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,,,0.0,2.0,day after a wedding party
,,,,,,,,,,,,,,,JBR Launch 
2.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,,,2.0,banana
0.0,2.0,0.0,0.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,,2.0,,cleaning
