Diazepam,Ritalin,BeachBody OnDemand,Cyclizine,Cold Pack,Florinef,Solifenacin,Hydrocortisone,Prednisolone,digestive enzyme,Ingefära,Fludrocortisone,Feverfew,Piyo,Probiotic,Stretching,TigerBalm,Passionflower,Methylprednisolone,Ginger,Cranberry extract,Vitamin b12,Meditation,PeaPure,row
,,,,,,,,,,,,,,,0.0,,,,,0.0,,0.0,,Diazepam
,,,,,,,,,,,,,,,,,,,,,,,,Ritalin
,,,,,,,,,,,,,,,,,,,,,,,,BeachBody OnDemand
,,,,,,,,,,,,,,,,,,,,,,,,Cyclizine
,,,,,,,,,,,,,,,,,,,,,,,,Cold Pack
,,,,,,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,Florinef
,,,,,,,,,,,,,,,,,,,,,,,,Solifenacin
,,,,,0.0,,,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,Hydrocortisone
,,,,,0.0,,0.0,,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,Prednisolone
,,,,,0.0,,0.0,0.0,,0.0,0.0,,,,,,,0.0,0.0,,,,0.0,digestive enzyme
,,,,,0.0,,0.0,0.0,0.0,,0.0,,,,,,,0.0,0.0,,,,0.0,Ingefära
,,,,,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,,,0.0,Fludrocortisone
,,,,,,,,,,,,,,,,,,,,,,,,Feverfew
,,,,,,,,,,,,,,,,,,,,,,,,Piyo
,,,,,,,,,,,,,,,,,,,,,,,,Probiotic
0.0,,,,,,,,,,,,,,,,,,,,0.0,,0.0,,Stretching
,,,,,,,,,,,,,,,,,,,,,,,,TigerBalm
,,,,,,,,,,,,,,,,,,,,,,,,Passionflower
,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,,0.0,,,,0.0,Methylprednisolone
,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,,,,,0.0,Ginger
0.0,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,Cranberry extract
,,,,,,,,,,,,,,,,,,,,,,,,Vitamin b12
0.0,,,,,,,,,,,,,,,0.0,,,,,0.0,,,,Meditation
,,,,,0.0,,0.0,0.0,0.0,0.0,0.0,,,,,,,0.0,0.0,,,,,PeaPure
