neck massage,Vitamin D3,hiking,Superlong nap,Cod liver oil,IVIG,Ligament Restore,Acetaminophen,home alone,cake,housework,Psyllium husk,Zantac,pasta and veggies,ate breakfast,lots of walking,row
,,0.0,0.0,,,,2.0,,,0.0,,,,0.0,0.0,neck massage
,,,,,,,,,,,,,,,,Vitamin D3
0.0,,,0.0,,,,2.0,,,0.0,,,,0.0,0.0,hiking
0.0,,0.0,,,,,2.0,,,0.0,,,,0.0,0.0,Superlong nap
,,,,,,,,,,,,,,,,Cod liver oil
,,,,,,,,,,,,,,,,IVIG
,,,,,,,,,,,,,,,,Ligament Restore
2.0,,2.0,2.0,,,,,,,2.0,,,,2.0,2.0,Acetaminophen
,,,,,,,,,0.0,,,,0.0,,,home alone
,,,,,,,,0.0,,,,,0.0,,,cake
0.0,,0.0,0.0,,,,2.0,,,,,,,0.0,0.0,housework
,,,,,,,,,,,,,,,,Psyllium husk
,,,,,,,,,,,,,,,,Zantac
,,,,,,,,0.0,0.0,,,,,,,pasta and veggies
0.0,,0.0,0.0,,,,2.0,,,0.0,,,,,0.0,ate breakfast
0.0,,0.0,0.0,,,,2.0,,,0.0,,,,0.0,,lots of walking
