Yoga,physical therapy,fresh food,Fentanyl,hot water bottle,b12 shot,tramadol,vacation,shopped,crocheted,had sex,Vicodin,drank alcohol,Amitriptyline,Cycling,played video games,ate breakfast,physiotherapy,busy,yoga,Prednisone,grocery shopping,smoothie,walked,travel,sitting,nap,excedrin migraine,Physio,ate pizza,dairy,alcohol yesterday,laxatives,exercise,Work,rest day,Superlong nap,Slept well,took naps,Cefaly Unit,Colpermin,Seasonique,gym,Buffered Salmon Oil - DHA - EPA,Headspace,Recov Bipeptides,Daytime nap,breathing exercises,heating pads,linseed,pain relief,Boswelia Complex,Mebeverine,Rowing machine,Maxalt,took nap,Gardening,Pain management,Noritriptyline,Nortriptyline,Cymbalta,vegan,fun shopping,Tramadol,new environment,Cane to get down stairs,Athlete Vitamin,Oxycodone,Standing desk,Ibuprofen,Paracetamol,smoked,massage,row
,,,,,,2.0,,,,,,2.0,0.0,0.0,,,0.0,,2.0,,,,,,2.0,,0.0,0.0,,,,0.0,,2.0,2.0,,,,,2.0,,,0.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,,0.0,,,,0.0,2.0,2.0,,2.0,,0.0,,,0.0,,0.0,,,,,Yoga
,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,physical therapy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,fresh food
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Fentanyl
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,hot water bottle
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,b12 shot
2.0,,,,,,,,,,,,0.0,2.0,2.0,,,2.0,,0.0,,,,,,0.0,,2.0,2.0,,,,2.0,,0.0,0.0,,,,,0.0,,,2.0,0.0,2.0,,2.0,2.0,2.0,2.0,2.0,,2.0,,,,2.0,0.0,0.0,,0.0,,2.0,,,2.0,,2.0,,,,,tramadol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,vacation
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,shopped
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,crocheted
