Solifenacin,Ritalin,Probiotic,BeachBody OnDemand,Cyclizine,TigerBalm,Vitamin b12,Feverfew,Passionflower,Piyo,row
,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Solifenacin
0.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Ritalin
0.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,Probiotic
0.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,BeachBody OnDemand
2.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,Cyclizine
0.0,0.0,0.0,0.0,2.0,,0.0,0.0,0.0,0.0,TigerBalm
0.0,0.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,Vitamin b12
0.0,0.0,0.0,0.0,2.0,0.0,0.0,,0.0,0.0,Feverfew
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,Passionflower
0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,,Piyo
