woke afternoon,tired,doing ok,struggled to get up,going outside every day,sober,dizzy,At Mom and Dad's,cold,vet,Medicinal Herbs,Guilt tripped,Spoke to James h,not stressed,not in a rush,Foggy,relaxed,Superlong nap,church ,moved slowly,Metoprolol,not forgetful,feel lazy,Day of Rest,spent day with others,stressed,not working,row
,,0.0,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,0.0,,,,0.0,,woke afternoon
,,,2.0,,2.0,,,,,,2.0,2.0,,,,,,,2.0,,,2.0,2.0,,0.0,,tired
0.0,,,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,0.0,,,,0.0,,doing ok
,2.0,,,,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,0.0,,2.0,,struggled to get up
,,,,,,,,,,,,,,,,,,,,,,,,,,,going outside every day
,2.0,,0.0,,,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,0.0,,2.0,,sober
,,,,,,,,,,,,,,,,,,,,,,,,,,,dizzy
0.0,,0.0,,,,,,0.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,0.0,,,,0.0,,At Mom and Dad's
0.0,,0.0,,,,,0.0,,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,0.0,,,,0.0,,cold
0.0,,0.0,,,,,0.0,0.0,,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,0.0,,,,0.0,,vet
2.0,,2.0,,,,,2.0,2.0,2.0,,,,,,2.0,2.0,2.0,0.0,,0.0,2.0,,,,2.0,,Medicinal Herbs
,2.0,,0.0,,0.0,,,,,,,0.0,,,,,,,0.0,,,0.0,0.0,,2.0,,Guilt tripped
,2.0,,0.0,,0.0,,,,,,0.0,,,,,,,,0.0,,,0.0,0.0,,2.0,,Spoke to James h
,,,,,,,,,,,,,,,,,,,,,,,,,,,not stressed
,,,,,,,,,,,,,,,,,,,,,,,,,,,not in a rush
0.0,,0.0,,,,,0.0,0.0,0.0,2.0,,,,,,0.0,0.0,2.0,,2.0,0.0,,,,0.0,,Foggy
0.0,,0.0,,,,,0.0,0.0,0.0,2.0,,,,,0.0,,0.0,2.0,,2.0,0.0,,,,0.0,,relaxed
0.0,,0.0,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,,2.0,,2.0,0.0,,,,0.0,,Superlong nap
2.0,,2.0,,,,,2.0,2.0,2.0,0.0,,,,,2.0,2.0,2.0,,,0.0,2.0,,,,2.0,,church 
,2.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,,,,0.0,0.0,,2.0,,moved slowly
2.0,,2.0,,,,,2.0,2.0,2.0,0.0,,,,,2.0,2.0,2.0,0.0,,,2.0,,,,2.0,,Metoprolol
0.0,,0.0,,,,,0.0,0.0,0.0,2.0,,,,,0.0,0.0,0.0,2.0,,2.0,,,,,0.0,,not forgetful
,2.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,,0.0,,2.0,,feel lazy
,2.0,,0.0,,0.0,,,,,,0.0,0.0,,,,,,,0.0,,,0.0,,,2.0,,Day of Rest
,,,,,,,,,,,,,,,,,,,,,,,,,,,spent day with others
0.0,0.0,0.0,2.0,,2.0,,0.0,0.0,0.0,2.0,2.0,2.0,,,0.0,0.0,0.0,2.0,2.0,2.0,0.0,2.0,2.0,,,,stressed
,,,,,,,,,,,,,,,,,,,,,,,,,,,not working
