Albuterol,Vitamins,Caffeine,Meticorten,Cannabis,Miralax low dose at night,Amitriptyline,ate breakfast,Calcort,Prednisone,housework,DEHA,Ketotifeno,Methylcobalamine,Zolpidem ER,Excedrin,Shampoo,Magnesium,Turmeric,Allegra,Flexeril,Slept a lot,new environment,Veggies,had sex,masturbated,Aromatherapy,0.9% Sodium Chloride Solution 1L,Coffee,Low oxalate,Citalopram,Cefaly Unit,slept 12 hours,Synthroid,exercise,Medical marijuana,Superlong nap,Aga,Vitamin C,co-tenidone,SAD Light Box,pasta,Tavegyl,eye drops,Cleaning ,ate well,Cetirizine,LUSH acne spot-treatment,studied,Ginger,hot,Vitamin b12,Vitamin d,Methotrexate,Tolterodine,massage,danced,Mediterranean Diet,Albuterol Inhaler,Metformin,lots of walking,Wellbutrin,Weather- rain,slept late,shopping,Trigger Points,Tacrolimus,Garden of Life Raw Meal,Snooze,Bagomicina,eye compress,Multivitamin,worked,Folic acid,Slept during day,rebounding,Escitalopram,Gardening,Sertraline,Singulair,anti-nausea pills,Ibuprofen,Meditation,Valtrex,Pentasa,Aloe Detox Water,Forever Aloe Berry,Flo-pred,Ibuprofen 600mg,Tylenol 3,gluten free,Ginkgo,nap,Benadryl,Protecting back,Ate healthy,Ranitidine,Zyrtec,Iron,Calcium citrate,pool,Lymphatic massage,Azathioprine,dexamphetamine,Snacks,low protein,Valcyte,Rather bad sleep,Montelukast,Medical Marijuana,Paracetamol,drawing,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Albuterol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,2.0,,,2.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,Vitamins
,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,Caffeine
,,,,,,,,0.0,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Meticorten
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cannabis
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,Miralax low dose at night
,,,,,,,,,,,,,,,,,,,,2.22044604925e-16,,,,,,,,,,,,,2.22044604925e-16,,,,,0.0,,2.0,,,,,,,,,,,,2.22044604925e-16,,,,,,,2.22044604925e-16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,,,,,,,,,2.0,,,,,,,,2.0,,,,,,0.0,2.0,,,,,,,,,,,0.0,,0.0,,,0.0,,,,0.0,0.0,,,,,,2.0,,,,2.0,,2.0,,0.0,,,,0.0,,,,,,,,0.0,,,,,0.0,,,,,,2.0,,,,,,,,,0.0,2.0,,0.0,0.0,,,2.0,,0.0,,,,0.0,2.0,,,,,,ate breakfast
,,,0.0,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Calcort
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,2.0,,,,,,,,,,,0.0,,,,,,,0.0,,,,,,,,,,,,,2.0,,,2.0,,,,,2.0,,,,,,0.0,,,,0.0,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,0.0,,,2.0,,,0.0,,,,,,2.0,,,,,,,housework
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,DEHA
,,,0.0,,,,,0.0,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,Ketotifeno
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Methylcobalamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Zolpidem ER
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,Excedrin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Shampoo
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,Magnesium
