rebounding,Trigger Points,Methylcobalamine,Low oxalate,LUSH acne spot-treatment,Snacks,Caffeine,Tylenol 3,gluten free,Aromatherapy,Cannabis,Veggies,Snooze,Tavegyl,DEHA,massage,row
,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,rebounding
0.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Trigger Points
0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Methylcobalamine
0.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Low oxalate
0.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,LUSH acne spot-treatment
2.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,Snacks
2.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,Caffeine
0.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,Tylenol 3
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,gluten free
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,2.0,2.0,0.0,0.0,0.0,Aromatherapy
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,2.0,2.0,0.0,0.0,0.0,Cannabis
2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,,0.0,2.0,2.0,2.0,Veggies
2.0,2.0,2.0,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,0.0,,2.0,2.0,2.0,Snooze
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,,0.0,0.0,Tavegyl
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,,0.0,DEHA
0.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,2.0,2.0,0.0,0.0,,massage
