coffee,Flexeril,Mt. Si ACDC 2x Coco Caps,didn't eat breakfast,no breakfast,no lunch,didn't really eat lunch,exercised,dairy,massage,gluten,fast food,Tetralabs Gold Caps,masturbated,slept late,ate breakfast,Tetralabs Gold Caps CBN,row
,,,,,,,,,,,,,,,,,coffee
,,,,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,,,Flexeril
,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
,,,,,,,,,,,,,,,,,didn't eat breakfast
,0.0,,,,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,,,no breakfast
,2.0,,,2.0,,2.0,2.0,0.0,2.0,0.0,2.0,,2.0,2.0,,,no lunch
,0.0,,,0.0,2.0,,0.0,2.0,0.0,2.0,0.0,,0.0,0.0,,,didn't really eat lunch
,0.0,,,0.0,2.0,0.0,,2.0,0.0,2.0,0.0,,0.0,0.0,,,exercised
,2.0,,,2.0,0.0,2.0,2.0,,2.0,0.0,2.0,,2.0,2.0,,,dairy
,0.0,,,0.0,2.0,0.0,0.0,2.0,,2.0,0.0,,0.0,0.0,,,massage
,2.0,,,2.0,0.0,2.0,2.0,0.0,2.0,,2.0,,2.0,2.0,,,gluten
,0.0,,,0.0,2.0,0.0,0.0,2.0,0.0,2.0,,,0.0,0.0,,,fast food
,,,,,,,,,,,,,,,,,Tetralabs Gold Caps
,0.0,,,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,,0.0,,,masturbated
,0.0,,,0.0,2.0,0.0,0.0,2.0,0.0,2.0,0.0,,0.0,,,,slept late
,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
