chicken wild rice soup,cooking,Phyical Therapy - stretches,Osteopathy,played video games,snuggly cat,busy,Prednisone,climbed stairs,met a new cat,ponstan,psychologist,Magnesium,Bunny cuddles,home alone,bubble and squeak roast,masturbated,Home physio exercises,picnic,bed day,snuggles,Prilosec,sex,Lots of kitty love,Beer,Relaxing,Citalopram,skipped meals,Clinda-derm,lots of desk work,excedrin migraine,broken sleep,exercise,very active aqua class,Vitamin B,ate salsa,Puppies,exercised,crafting,slept in,slimfast,Zomig,Soy Sauce,Daytime nap,popcorn,swimming,family,buses,physical therapy,Tretinoin,had sex,Pokemon go,ironing,Metformin,trying to clean the house,lots of walking,Went out on date,went swimming,vacation,Physio,Topiramate,worked in garden,slept late,banana,bbq,Paracatamol with codeine,Corticosteroids,shopping,slept >12 hrs,scary new shit,Medication,Tranexamic acid,bunny cuddles,Gardening,not great sleep,Lots of travel,soft drink,Imodium,Dicyclomine,studied,Bunny snuggles,allergy shot,marijuana,Lots of cleaning,Pantoprazole,aqua therapy,drank alcohol,drank wine,Fexofenadine,cooked breakfast,travel,severe pain,lift x2,Lazy day,Achy breaky rub,party,Enada,laundry,Ranitidine,bone broth,Progesterone,Methotrexate,Migraine herb feverfew tablets,no breakfast,stress,long shopping  trip,Went out on adventures,walked,Montelukast,no sleep,soy or tofu main dish eaten,Late sleep,long walk,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chicken wild rice soup
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cooking
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Phyical Therapy - stretches
,,,,,,,,,,,,,,,,,,-1.0,,,,,,,,,,,,,,1.0,,-1.0,,,-1.0,,,,1.0,,,,,,,-1.0,,,,1.0,-1.0,,,-1.0,,,,,-1.0,,,1.0,,,,,,,-1.0,,1.0,1.0,,-1.0,,,,,,,,-1.0,,,,,,,,,-1.0,,,,,,,-1.0,,,,,,,,,,,,-1.0,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,played video games
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,snuggly cat
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,busy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,climbed stairs
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,met a new cat
