Albuterol,Cycling,Tranexamic acid,Fluvoxamine,Fluids,Osteopathy,Miralax low dose at night,Amitriptyline,Nabumetone,Prednisone,Lavender oil,ponstan,Hydroxychloroquine,Turmeric,Magnesium malate,Probiotic,Colpermin,psychologist,Magnesium,pain relief,Boswelia Complex,Gaba,Fish oil,laxatives,Standing desk,Inositol,gluten free diet,Language Learning,Prilosec,0.9% Sodium Chloride Solution 1L,Tyrosine,ASMR,Yin Chiao,Pataday,Citalopram,Methylphenidate,Synthroid,excedrin migraine,Quell,SPD alternative treatments,Green Vibrance,Epsom Salts,Pet Therapy,Buffered Salmon Oil - DHA - EPA,Recov Bipeptides,breathing exercises,Vitamin B,co-tenidone,Ropinirole,Cleaning ,Vitamin C,Medication,Cetirizine,Pain management,Voltaren,CuraMed,Thyroid-Pro,Zomig,Farm,Vitamin e,Tian Ma Tou Tong - headache,Methotrexate,Plaquenil,Yoga,Vyvanse,Albuterol Inhaler,Therapy,Clonazepam,Physio,Topiramate,N-acetyl cysteine,Paracatamol with codeine,linseed,Enbrel,Headspace,Calcium citrate,eye compress,Midodrine,Mirtazapine,Quell Unit,Noritriptyline,Sertraline,Ibuprofen,Nortriptyline,TENS Unit,Selenium,Burbur-Pinella,Imodium,aqua therapy,Low Dose Naltrexone,Rowing machine,Wei Zhang Shun Qi Wan,Ginkgo,Exercise--walking,Benadryl,Protecting back,Ranitidine,Zyrtec,Vitamin d,Gan Mao Qing anti-viral,Progesterone,Essential oils,Migraine herb feverfew tablets,heating pads,Norco,Ondansetron,Biking,pool,Azathioprine,dexamphetamine,Pentasa,Athlete Vitamin,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,Albuterol
,,,,,,,0.0,,,,,,,,,2.0,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,2.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,Cycling
,,,,,0.0,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,Tranexamic acid
,,,,,,,,,,2.0,,,,2.0,,,,2.0,,,2.0,,,,2.0,0.0,,,,2.0,,,,,0.0,,,,,2.0,2.0,,,,,,,0.0,,,,,,2.0,2.0,,,,,,,0.0,,,,,,,2.0,2.0,,,,,,,2.0,,,,,,,,2.0,2.0,,,0.0,,,,,,,,,,,,,,,,,,,,,,,Fluvoxamine
,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,0.0,,,,,,,,0.0,,,0.0,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,0.0,,,,,,,,0.0,,,,,,,,,,,Fluids
,,0.0,,,,,,,,,0.0,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,0.0,,,0.0,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,0.0,,0.0,,,,,,,,,,Osteopathy
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,Miralax low dose at night
,0.0,,,,,,,,,,,,,,,2.0,,,2.0,2.0,,,2.0,0.0,,,,,,,,,,,,,2.0,0.0,,,,,2.0,0.0,0.0,,,,,,,,0.0,,,,,,,,,,0.0,,,,,0.0,,,,0.0,,0.0,,,,,,0.0,,,2.0,,,,,,,0.0,,,,,,,,,,,,,0.0,,,,,,,,0.0,Amitriptyline
,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,0.0,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Nabumetone
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
