Car all day to sydney,Achy joints,light sensitivity,Joint pain!,Migraine last night,Achy ++,Fever n chills,Tired.,Chest wall muscles hurt!!!,Alcohol yesterday,Upset gut,3000 steps,Fuzzy.,15 min walk,No head pain,150km yday,Home tonight,alcohol,Aching ,use exercise bike,Drove to kyogle yday,Listless,Anxiety up,Foggy,V tired yday,Made step count,nauseas all night,brain fog,No Energy,Forgot targin yday,stressed,No driving.,Pointy headache,sore,ate breakfast,vomiting,5000 steps 3 daya in a row,Fly home,Feel ok,Very poor sleep,No rest time,Havent walked much,studied,walked,Pms cramps,No driving,Drove to gold  coast yday,Felt pretty good,Rested.,"6,000 steps x 7 days",Long drive today
,,0.0,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,
0.0,,0.0,,0.0,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,
0.0,,0.0,0.0,,2.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,
2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,
0.0,,0.0,0.0,0.0,2.0,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,
0.0,,0.0,0.0,0.0,2.0,0.0,,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,
0.0,,0.0,0.0,0.0,2.0,0.0,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,,0.0,,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,,,0.0,0.0,2.0,0.0,0.0,0.0,0.0,2.0,,
2.0,,2.0,2.0,2.0,0.0,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,,2.0,,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,2.0,2.0,,2.0,,,2.0,2.0,0.0,2.0,2.0,2.0,2.0,0.0,,
