Thyroxine,Probiotic,Medicinal Herbs,Miralax low dose PM,Phenergan,Andrographis compound,Metoprolol,Drinking eight glasses or more of water,Magnesium amino acid chelate,Vitamin b complex,Complex b,row
,,,,,,,,,,,Thyroxine
,,,,,,,,,,,Probiotic
,,,,,,,,,,,Medicinal Herbs
,,,,,,,,,,,Miralax low dose PM
,,,,,,,,,,,Phenergan
,,,,,,,,,,,Andrographis compound
,,,,,,,,,,,Metoprolol
,,,,,,,,,,,Drinking eight glasses or more of water
,,,,,,,,,,,Magnesium amino acid chelate
,,,,,,,,,,,Vitamin b complex
,,,,,,,,,,,Complex b
