Nasal spray,slept in,Contraceptive pill,normal sleep,medium sleep,Slept,Selenium,ate badly,Vitamin C,yogurt,went to bed too late,slept not alone,catered food,Levothyroxine,Lexam,nachos,ate breakfast,Multi-vitamin,row
,,,,,,,,,,,,,,,,,,Nasal spray
,,,,,,,,,,,,,,,,,,slept in
,,,,,,,,,,,,,,,,,,Contraceptive pill
,,,,,,,,,,,,,,,,,,normal sleep
,,,,,,,,,,,,,,,,,,medium sleep
,,,,,,,,,,,,,,,,,,Slept
,,,,,,,,,,,,,,,,,,Selenium
,,,,,,,,,,,,,,,,,,ate badly
,,,,,,,,,,,,,,,,,,Vitamin C
,,,,,,,,,,,,,,,,,,yogurt
,,,,,,,,,,,,,,,,,,went to bed too late
,,,,,,,,,,,,,,,,,,slept not alone
,,,,,,,,,,,,,,,,,,catered food
,,,,,,,,,,,,,,,,,,Levothyroxine
,,,,,,,,,,,,,,,,,,Lexam
,,,,,,,,,,,,,,,,,,nachos
,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,Multi-vitamin
