Prednisone,Probiotic,Creatine,Clonazepam,Fish oil,Stretching,Ecural,Synthroid,Physiotherapy,linseed,Standing desk,Vitamin d,Nortriptyline,Lithium,Mezavant,Magnesium gel,Ranitidine,row
,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Prednisone
2.0,,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Probiotic
2.0,0.0,,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Creatine
2.0,0.0,0.0,,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Clonazepam
2.0,0.0,0.0,0.0,,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Fish oil
,,,,,,,,,,,,,,,,,Stretching
2.0,0.0,0.0,0.0,0.0,,,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Ecural
2.0,0.0,0.0,0.0,0.0,,0.0,,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Synthroid
0.0,2.0,2.0,2.0,2.0,,2.0,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,Physiotherapy
0.0,2.0,2.0,2.0,2.0,,2.0,2.0,0.0,,2.0,2.0,2.0,2.0,2.0,2.0,2.0,linseed
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,,0.0,0.0,0.0,0.0,0.0,0.0,Standing desk
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,,0.0,0.0,0.0,0.0,0.0,Vitamin d
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,,0.0,0.0,0.0,0.0,Nortriptyline
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,,0.0,0.0,0.0,Lithium
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,,0.0,0.0,Mezavant
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,Magnesium gel
2.0,0.0,0.0,0.0,0.0,,0.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,Ranitidine
