Dicyclomine,Home physio exercises,Tranexamic acid,Phyical Therapy - stretches,Ranitidine,Prilosec,Osteopathy,Tretinoin,Pantoprazole,aqua therapy,Imodium,Metformin,Tetralabs Gold Caps CBN,Fexofenadine,Prednisone,Relaxing,Citalopram,Clinda-derm,excedrin migraine,Physio,Topiramate,Achy breaky rub,ponstan,Tetralabs Gold Caps,Paracatamol with codeine,Enada,Corticosteroids,Mt. Si ACDC 2x Coco Caps,Progesterone,Vitamin B,Migraine herb feverfew tablets,Medication,Magnesium,Iron,Wellbutrin,Flexeril,Sertraline,Zomig,psychologist,Montelukast,Methotrexate,Multi-vitamin,Florinef,row
,,0.0,0.0,,,0.0,0.0,2.0,,,2.0,,0.0,,0.0,,0.0,2.0,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,,,,,,0.0,,0.0,,,,Dicyclomine
,,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,0.0,,Home physio exercises
0.0,0.0,,0.0,0.0,0.0,0.0942682395024,0.0,1.92324506722,0.0,0.0,1.84949680458,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.0492441133111,0.0298540321187,2.0,2.0,0.0,,,,,0.228097374753,0.0,0.0,,0.0,,Tranexamic acid
0.0,,0.0,,,,0.0,0.0,2.0,,,2.0,,0.0,,0.0,,0.0,2.0,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,,,,,,0.0,,0.0,,,,Phyical Therapy - stretches
,0.0,0.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,0.0,,Ranitidine
,0.0,0.0,,0.0,,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,0.0,,Prilosec
0.0,0.0,0.0942682395024,0.0,0.0,0.0,,0.0,1.67336377398,0.0,0.0,1.54579490062,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.00750140437892,0.0185148086895,2.0,2.0,0.0,,,,,0.0314036808423,0.0,0.0,,0.0,,Osteopathy
0.0,,0.0,0.0,,,0.0,,2.0,,,2.0,,0.0,,0.0,,0.0,2.0,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,,,,,,0.0,,0.0,,,,Tretinoin
2.0,0.0,1.92324506722,2.0,0.0,0.0,1.67336377398,2.0,,0.0,0.0,0.0129986269315,,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,1.75869786941,1.80250281076,2.0,0.0,0.0,,,,,1.46839631593,0.0,2.0,,0.0,,Pantoprazole
,0.0,0.0,,0.0,0.0,0.0,,0.0,,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,0.0,,aqua therapy
,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,,0.0,,,,,0.0,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,0.0,,Imodium
2.0,0.0,1.84949680458,2.0,0.0,0.0,1.54579490062,2.0,0.0129986269315,0.0,0.0,,,2.0,,2.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,,0.0,2.0,2.0,,1.64414130193,1.696182935,2.0,0.0,0.0,,,,,1.32031594395,0.0,2.0,,0.0,,Metformin
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps CBN
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,2.0,,,,0.0,,0.0,2.0,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,,,,,,0.0,,0.0,,,,Fexofenadine
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Prednisone
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,2.0,,0.0,,,,0.0,2.0,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,,,,,,0.0,,0.0,,,,Relaxing
,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,,,,0.0,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,0.0,,Citalopram
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,2.0,,0.0,,0.0,,,2.0,,,2.0,,,,0.0,0.0,,0.0,0.0,,2.0,,,,,,0.0,,0.0,,,,Clinda-derm
2.0,,2.0,2.0,,,2.0,2.0,0.0,,,0.0,,2.0,,2.0,,2.0,,,,0.0,,,,2.0,2.0,,2.0,2.0,,0.0,,,,,,2.0,,2.0,,,,excedrin migraine
,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,,0.0,,0.0,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,0.0,,Physio
,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,,,0.0,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,0.0,,Topiramate
2.0,,2.0,2.0,,,2.0,2.0,0.0,,,0.0,,2.0,,2.0,,2.0,0.0,,,,,,,2.0,2.0,,2.0,2.0,,0.0,,,,,,2.0,,2.0,,,,Achy breaky rub
,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,,,0.0,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,0.0,,ponstan
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Tetralabs Gold Caps
,0.0,0.0,,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,,,,,0.0,,,0.0,0.0,,0.0,,,,,,0.0,0.0,2.0,,0.0,,,,,0.0,0.0,,,0.0,,Paracatamol with codeine
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,2.0,,0.0,,0.0,,0.0,2.0,,,2.0,,,,,0.0,,0.0,0.0,,2.0,,,,,,0.0,,0.0,,,,Enada
0.0,,0.0,0.0,,,0.0,0.0,2.0,,,2.0,,0.0,,0.0,,0.0,2.0,,,2.0,,,,0.0,,,0.0,0.0,,2.0,,,,,,0.0,,0.0,,,,Corticosteroids
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mt. Si ACDC 2x Coco Caps
0.0,0.0,0.0492441133111,0.0,0.0,0.0,0.00750140437892,0.0,1.75869786941,0.0,0.0,1.64414130193,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,,0.00246064548354,2.0,2.0,0.0,,,,,0.0690670866907,0.0,0.0,,0.0,,Progesterone
0.0,0.0,0.0298540321187,0.0,0.0,0.0,0.0185148086895,0.0,1.80250281076,0.0,0.0,1.696182935,,0.0,,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,,0.0,0.0,0.0,,0.00246064548354,,2.0,2.0,0.0,,,,,0.0969608120969,0.0,0.0,,0.0,,Vitamin B
,2.0,2.0,,2.0,2.0,2.0,,2.0,2.0,2.0,2.0,,,,,2.0,,,2.0,2.0,,2.0,,2.0,,,,2.0,2.0,,,2.0,,,,,2.0,2.0,,,2.0,,Migraine herb feverfew tablets
