Triamcinolone Lotion,Spinal epidural,Migraine Diet,wear mask,Omeprazole,Inflamma-blox,colofac mr,Prednisone,Hemorrhoid Cream,Flonase,Sauna,Fruit,Low-FODMAP diet,Humira,Acetaminophen plus Codeine Number 3,Inderal,Stretching,Megaspore,Iron,Vitamin C,Medication,Triamcinolone Cream,Tolterodine,row
,,,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,,0.0,2.0,,0.0,,Triamcinolone Lotion
,,,,,,,,,,,,,,,,2.0,,,,,,,Spinal epidural
,,,0.0,0.0,,0.0,,,,,2.0,0.0,,0.0,0.0,,0.0,,,0.0,,,Migraine Diet
,,0.0,,0.0,,0.0,,,,,2.0,0.0,,0.0,0.0,,0.0,,,0.0,,,wear mask
,,0.0,0.0,,,0.0,,,,,2.0,0.0,,0.0,0.0,,0.0,,,0.0,,,Omeprazole
0.0,,,,,,,2.0,0.0,0.0,0.0,,,0.0,,,,,0.0,2.0,,0.0,,Inflamma-blox
,,0.0,0.0,0.0,,,,,,,2.0,0.0,,0.0,0.0,,0.0,,,0.0,,,colofac mr
2.0,,,,,2.0,,,2.0,2.0,2.0,,,2.0,,,,,2.0,0.0,,2.0,,Prednisone
0.0,,,,,0.0,,2.0,,0.0,0.0,,,0.0,,,,,0.0,2.0,,0.0,,Hemorrhoid Cream
0.0,,,,,0.0,,2.0,0.0,,0.0,,,0.0,,,,,0.0,2.0,,0.0,,Flonase
0.0,,,,,0.0,,2.0,0.0,0.0,,,,0.0,,,,,0.0,2.0,,0.0,,Sauna
,,2.0,2.0,2.0,,2.0,,,,,,2.0,,2.0,2.0,,2.0,,,2.0,,,Fruit
,,0.0,0.0,0.0,,0.0,,,,,2.0,,,0.0,0.0,,0.0,,,0.0,,,Low-FODMAP diet
0.0,,,,,0.0,,2.0,0.0,0.0,0.0,,,,,,,,0.0,2.0,,0.0,,Humira
,,0.0,0.0,0.0,,0.0,,,,,2.0,0.0,,,0.0,,0.0,,,0.0,,,Acetaminophen plus Codeine Number 3
,,0.0,0.0,0.0,,0.0,,,,,2.0,0.0,,0.0,,,0.0,,,0.0,,,Inderal
,2.0,,,,,,,,,,,,,,,,,,,,,,Stretching
,,0.0,0.0,0.0,,0.0,,,,,2.0,0.0,,0.0,0.0,,,,,0.0,,,Megaspore
0.0,,,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,,,2.0,,0.0,,Iron
2.0,,,,,2.0,,0.0,2.0,2.0,2.0,,,2.0,,,,,2.0,,,2.0,,Vitamin C
,,0.0,0.0,0.0,,0.0,,,,,2.0,0.0,,0.0,0.0,,0.0,,,,,,Medication
0.0,,,,,0.0,,2.0,0.0,0.0,0.0,,,0.0,,,,,0.0,2.0,,,,Triamcinolone Cream
,,,,,,,,,,,,,,,,,,,,,,,Tolterodine
