Maxalt,Superlong nap,11K steps,hiking,Cefaly Unit,Pedicure,16K steps,12K Steps,15K steps,2K steps,5k steps,ate breakfast,row
,,2.0,,0.0,2.0,2.0,2.0,2.0,2.0,2.0,,Maxalt
,,,0.0,,,,,,,,0.0,Superlong nap
2.0,,,,2.0,0.0,0.0,0.0,0.0,0.0,0.0,,11K steps
,0.0,,,,,,,,,,0.0,hiking
0.0,,2.0,,,2.0,2.0,2.0,2.0,2.0,2.0,,Cefaly Unit
2.0,,0.0,,2.0,,0.0,0.0,0.0,0.0,0.0,,Pedicure
2.0,,0.0,,2.0,0.0,,0.0,0.0,0.0,0.0,,16K steps
2.0,,0.0,,2.0,0.0,0.0,,0.0,0.0,0.0,,12K Steps
2.0,,0.0,,2.0,0.0,0.0,0.0,,0.0,0.0,,15K steps
2.0,,0.0,,2.0,0.0,0.0,0.0,0.0,,0.0,,2K steps
2.0,,0.0,,2.0,0.0,0.0,0.0,0.0,0.0,,,5k steps
,0.0,,0.0,,,,,,,,,ate breakfast
