Cycling,cereal,golden beet,tramadol,high carb,took a muscle relaxer,Amitriptyline,chicken,ate breakfast,Aspirin,swam,lettuce mix,avocado,sugar,red pepper,cashews,dairy,toast and vegg,foot brace,Gravol,canned vegetable beef soup,Vitamin b complex,acorn squash,corncakes,peanuts,Probiotic,sitting,Colpermin,coco pops,Stretching,vegan,weekend shopping,butternut squash risotto,pain relief,Boswelia Complex,9 hours of sleep,grilled cheese,read book,home alone,limes,Tramadol,physiotherapy,laxatives,bubble and squeak roast,Standing desk,Lexapro,Cat ,olive tapenade,No sleep,Aleve,hummus sandwich and salad,nutella on toast,baked a cake,exercise - dancing,Beer,Eicosapentaenoic acid,Compression Stockings,fast food,ice cream,twice baked potatoes,field mushrooms and toast,Docosahexaenoic acid,Citalopram,3 brazil-nuts,cooking,caffeine,Exercised,excedrin migraine,Quell,worked out,eggs,exercise,Superlong nap,Slept well,Off work,Buffered Salmon Oil - DHA - EPA,spicy mock beef,Recov Bipeptides,breathing exercises,b12 injection,co-tenidone,listen to music ,mint chocolates,linseed,grapes,pasta,Cleaning ,Gabapentin,6.5 hours of sleep,coco pops with rice milk,slept 10 hours,Pain management,raspberries,stir fry,Nortriptyline,flaxseed and fybogel,Coenzyme q-10,Ate Terribly,Skipped gym,stress,massage,Diazepam,Yoga,dried fruit & pumpkin seeds,hiking,physical therapy,beans and baked potato,L-methylfolate,lettuce,had sex,olives,sugar free diet,cashew ice cream,got hair done,vacation,occular migraine meds,Physio,Therapy,orange and verveine tea,banana,Work,rocky horror,No red meat,medium sleep,Headspace,pasta and pesto,strawberries,Glucosamine,Multivitamin,half cupcake,heavy lifting,television,Noritriptyline,slept 9 hours,almond coconut bar,13 hours of sleep,soup,Ibuprofen,lifting things,sweet potato,Meditation,chocolate chips,rest day,fry up breakfast,slept 8 hours!,Selenium,Sunlight,Went to the store,minestrone,drank alcohol,birth control,7 hours of sleep,Flight,Rowing machine,use exercise bike,avocado bun,severe pain,thai food,Exercise--walking,no lunch,elliptical,potato curries,active morning,12 hrs sleep,pizza,flu vaccine injection,dumpling stew,Seasonique,peppermint tea,Corn on the cob,heating pads,Iron,yoga,slept in chair,Keppra,chinese takeout,Mersyndol Forte,Azathioprine,Iodine,Glycine,15.5 hours of sleep,hot dog,Pentasa,walked,big burger,mango,Athlete Vitamin,coconut flakes,Singing,Pristiq,row
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Cycling
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,cereal
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,golden beet
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,tramadol
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,high carb
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,took a muscle relaxer
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Amitriptyline
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,chicken
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ate breakfast
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Aspirin
