Walking,Medication,Yoga,Mirtazapine,Chiropractic,physical therapy,Sertraline,distraction,Vitamin d,SAD Light Box,Coenzyme q-10,Medications,Sleep,Hobbies,Dermatologist,neuro,counselor,Social interactions,Exercise,psychiatrists,row
,2.0,2.0,,2.0,2.0,,,0.0,,0.0,2.0,,,2.0,0.0,0.0,,0.0,0.0,Walking
2.0,,0.0,,0.0,0.0,,,2.0,,2.0,0.0,,,0.0,2.0,2.0,,2.0,2.0,Medication
2.0,0.0,,,0.0,0.0,,,2.0,,2.0,0.0,,,0.0,2.0,2.0,,2.0,2.0,Yoga
,,,,,,0.0,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,,Mirtazapine
2.0,0.0,0.0,,,0.0,,,2.0,,2.0,0.0,,,0.0,2.0,2.0,,2.0,2.0,Chiropractic
2.0,0.0,0.0,,0.0,,,,2.0,,2.0,0.0,,,0.0,2.0,2.0,,2.0,2.0,physical therapy
,,,0.0,,,,0.0,,0.0,,,0.0,0.0,,,,0.0,0.0,,Sertraline
,,,0.0,,,0.0,,,0.0,,,0.0,0.0,,,,0.0,0.0,,distraction
0.0,2.0,2.0,,2.0,2.0,,,,,0.0,2.0,,,2.0,0.0,0.0,,0.0,0.0,Vitamin d
,,,0.0,,,0.0,0.0,,,,,0.0,0.0,,,,0.0,0.0,,SAD Light Box
0.0,2.0,2.0,,2.0,2.0,,,0.0,,,2.0,,,2.0,0.0,0.0,,0.0,0.0,Coenzyme q-10
2.0,0.0,0.0,,0.0,0.0,,,2.0,,2.0,,,,0.0,2.0,2.0,,2.0,2.0,Medications
,,,0.0,,,0.0,0.0,,0.0,,,,0.0,,,,0.0,0.0,,Sleep
,,,0.0,,,0.0,0.0,,0.0,,,0.0,,,,,0.0,0.0,,Hobbies
2.0,0.0,0.0,,0.0,0.0,,,2.0,,2.0,0.0,,,,2.0,2.0,,2.0,2.0,Dermatologist
0.0,2.0,2.0,,2.0,2.0,,,0.0,,0.0,2.0,,,2.0,,0.0,,0.0,0.0,neuro
0.0,2.0,2.0,,2.0,2.0,,,0.0,,0.0,2.0,,,2.0,0.0,,,0.0,0.0,counselor
,,,0.0,,,0.0,0.0,,0.0,,,0.0,0.0,,,,,0.0,,Social interactions
0.0,2.0,2.0,0.0,2.0,2.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,2.0,0.0,0.0,0.0,,0.0,Exercise
0.0,2.0,2.0,,2.0,2.0,,,0.0,,0.0,2.0,,,2.0,0.0,0.0,,0.0,,psychiatrists
