windsurfing,exercise,Superlong nap,Morphine,Medical marijuana,Fentanyl,day at home,depo-provera shot,Late lunch,banana,ate breakfast,long sleep,row
,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,windsurfing
0.0,,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,exercise
0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.0,Superlong nap
,,,,,,,,,,,,Morphine
,,,,,,,,,,,,Medical marijuana
,,,,,,,,,,,,Fentanyl
0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,day at home
0.0,0.0,0.0,,,,0.0,,0.0,0.0,0.0,0.0,depo-provera shot
0.0,0.0,0.0,,,,0.0,0.0,,0.0,0.0,0.0,Late lunch
0.0,0.0,0.0,,,,0.0,0.0,0.0,,0.0,0.0,banana
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,,0.0,ate breakfast
0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,,long sleep
